Run,BioSample,BioProject,Organism,sub_group,DATASTORE_filetype,SRA_Study,era,era_guess,age,comments
ERR466186,SAMEA2421738,PRJEB5942,Equus caballus,Franches-Montagnes,"bam,sra",ERP005387,modern,,,
ERR863167,SAMEA3355589,PRJEB9139,Equus caballus,Icelandic,"bam,sra",ERP010217,modern,,,
ERR868003,SAMEA3367609,PRJEB9267,Equus caballus,Shetland,"bam,sra",ERP010352,modern,,,
ERR868004,SAMEA3367610,PRJEB9269,Equus caballus,Shetland,"bam,sra",ERP010354,modern,,,
ERR953404,SAMEA3475186,PRJEB9799,Equus caballus,American Miniature Horse,"fastq,sra",ERP010944,modern,,,appears modern
ERR953412,SAMEA3475296,PRJEB9799,Equus caballus,Arabian,"fastq,sra",ERP010944,modern,,,appears modern
ERR953413,SAMEA3475316,PRJEB9799,Equus caballus,Tennessee Walking Horse,"fastq,sra",ERP010944,modern,,,appears modern
ERR982794,SAMEA3504078,PRJEB9799,Equus caballus,Mangalarga Marchador,"fastq,sra",ERP010944,modern,,,appears modern
ERR953411,SAMEA3475276,PRJEB9799,Equus caballus,Percheron horse,"fastq,sra",ERP010944,modern,,,appears modern
ERR982786,SAMEA3504070,PRJEB9799,Equus caballus,Mongolian,"fastq,sra",ERP010944,modern,,,appears modern
ERR978598,SAMEA3498895,PRJEB10098,Equus caballus,Franches-Montagnes,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR978601,SAMEA3498892,PRJEB10098,Equus caballus,Franches-Montagnes,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR978602,SAMEA3498897,PRJEB10098,Equus caballus,Franches-Montagnes,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR978603,SAMEA3498888,PRJEB10098,Equus caballus,Franches-Montagnes,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR978605,SAMEA3498889,PRJEB10098,Equus caballus,Franches-Montagnes,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR978606,SAMEA3498890,PRJEB10098,Equus caballus,Franches-Montagnes,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR978921,SAMEA3498587,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR978922,SAMEA3498582,PRJEB10098,Equus caballus,Mongolian,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR978923,SAMEA3498582,PRJEB10098,Equus caballus,Mongolian,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR978924,SAMEA3498586,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR978926,SAMEA3498585,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR978930,SAMEA3498589,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR978931,SAMEA3498589,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR978942,SAMEA3498584,PRJEB10098,Equus ferus,Przewalski-hybrid,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979309,SAMEA3498587,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
