BioSample,BioProject,Organism,sub_group,SRA_Study,era,era_guess,age,comments,DATASTORE_filetype,run_count
SAMEA104233649,PRJEB31613,Equus caballus,Actiparc,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',1
SAMEA104233663,PRJEB31613,Equus caballus,Botai,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',1
SAMEA104233669,PRJEB31613,Equus caballus,Botai,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',1
SAMEA104233670,PRJEB31613,Equus caballus,Botai,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',1
SAMEA104233671,PRJEB31613,Equus caballus,Botai,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',1
SAMEA104233686,PRJEB31613,Equus caballus,Tepe Hasanlu,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',1
SAMEA104357335,PRJEB14779,Equus caballus,Franches-Montagnes,ERP016448,modern,,,,'bam' 'sra',1
SAMEA104357336,PRJEB14779,Equus caballus,Franches-Montagnes,ERP016448,modern,,,,'bam' 'sra',1
SAMEA104357337,PRJEB14779,Equus caballus,German Riding Pony,ERP016448,modern,,,,'bam' 'sra',1
SAMEA104357338,PRJEB14779,Equus caballus,Welsh Pony,ERP016448,modern,,,,'bam' 'sra',1
SAMEA104357339,PRJEB14779,Equus caballus,Arabian,ERP016448,modern,,,,'bam' 'sra',1
SAMEA104357340,PRJEB14779,Equus caballus,German Riding Pony,ERP016448,modern,,,,'bam' 'sra',1
SAMEA104357341,PRJEB14779,Equus caballus,Morgan Horse,ERP016448,modern,,,,'bam' 'sra',1
SAMEA104357342,PRJEB14779,Equus caballus,Holsteiner,ERP016448,modern,,,,'bam' 'sra',1
SAMEA104357343,PRJEB14779,Equus caballus,Oldenburger,ERP016448,modern,,,,'bam' 'sra',1
SAMEA104357344,PRJEB14779,Equus caballus,Hannoveraner,ERP016448,modern,,,,'bam' 'sra',1
SAMEA104357345,PRJEB14779,Equus caballus,Welsh Pony,ERP016448,modern,,,,'bam' 'sra',1
SAMEA104357346,PRJEB14779,Equus caballus,Arabian,ERP016448,modern,,,,'bam' 'sra',1
SAMEA104357347,PRJEB14779,Equus caballus,Noriker,ERP016448,modern,,,,'bam' 'sra',1
SAMEA104357348,PRJEB14779,Equus caballus,Haflinger,ERP016448,modern,,,,'bam' 'sra',1
SAMEA104357349,PRJEB14779,Equus caballus,Haflinger,ERP016448,modern,,,,'bam' 'sra',1
SAMEA104357350,PRJEB14779,Equus caballus,Haflinger,ERP016448,modern,,,,'bam' 'sra',1
SAMEA104357351,PRJEB14779,Equus caballus,Swiss Warmblood,ERP016448,modern,,,,'bam' 'sra',1
SAMEA104399644,PRJEB14779,Equus caballus,Trakehner,ERP016448,modern,,,,'bam' 'sra',1
SAMEA2421738,PRJEB5942,Equus caballus,Franches-Montagnes,ERP005387,modern,,,,'bam' 'sra',1
SAMEA3355589,PRJEB9139,Equus caballus,Icelandic,ERP010217,modern,,,,'bam' 'sra',1
SAMEA3367609,PRJEB9267,Equus caballus,Shetland,ERP010352,modern,,,,'bam' 'sra',1
