Run,Assay Type,AssemblyName,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Alias,AvgSpotLen,Bases,Bytes,ENA_CHECKLIST,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,sample_name,SRA_accession,title,Description,INSDC_center_alias,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE
ERR1527950,WGS,GCF_000002305.2,PRJEB14779,SAMEA4075244,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1598842,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075244,ERP016448,AKT006,299.0,53097207633.0,16923695333.0,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246354,ERS1246354,Akhal-Teke,Akhal-Teke - male,,,
ERR1527952,WGS,GCF_000002305.2,PRJEB14779,SAMEA4075246,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1598844,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075246,ERP016448,FM001,202.0,63630041208.0,33365974563.0,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246356,ERS1246356,Franches-Montagnes,Franches-Montagnes - female,,,
ERR1527953,WGS,GCF_000002305.2,PRJEB14779,SAMEA4075247,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1598845,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075247,ERP016448,FM0238,190.0,24631466620.0,13359357927.0,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246357,ERS1246357,Franches-Montagnes,Franches-Montagnes- male,,,
ERR1527954,WGS,GCF_000002305.2,PRJEB14779,SAMEA4075248,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1598846,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075248,ERP016448,FM0334,202.0,28580867688.0,16093462686.0,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246358,ERS1246358,Franches-Montagnes,Franches-Montagnes - male,,,
ERR1527955,WGS,GCF_000002305.2,PRJEB14779,SAMEA4075249,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1598847,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075249,ERP016448,FM0512,202.0,40162165200.0,20218531952.0,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246359,ERS1246359,Franches-Montagnes,Franches-Montagnes - male,,,
ERR1527956,WGS,GCF_000002305.2,PRJEB14779,SAMEA4075250,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1598848,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075250,ERP016448,FM0570,202.0,41110601660.0,21638358769.0,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246360,ERS1246360,Franches-Montagnes,Franches-Montagnes - female,,,
ERR1527957,WGS,GCF_000002305.2,PRJEB14779,SAMEA4075251,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1598849,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075251,ERP016448,FM0664,202.0,18832328498.0,9682638805.0,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246361,ERS1246361,Franches-Montagnes,Franches-Montagnes - female,,,
ERR1527959,WGS,GCF_000002305.2,PRJEB14779,SAMEA4075253,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1598851,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075253,ERP016448,FM1176,202.0,40960787754.0,21401848681.0,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246363,ERS1246363,Franches-Montagnes,Franches-Montagnes - female,,,
ERR1527961,WGS,GCF_000002305.2,PRJEB14779,SAMEA4075255,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1598853,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075255,ERP016448,FM1215,202.0,33210036038.0,16423403282.0,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246365,ERS1246365,Franches-Montagnes,Franches-Montagnes - female,,,
ERR1527962,WGS,GCF_000002305.2,PRJEB14779,SAMEA4075256,"INSTITUTE OF GENETICS, UNIVERSITY OF BERN, SWITZER",public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2016-09-11,2018-11-16,ERX1598854,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-09-29T00:00:00Z,SAMEA4075256,ERP016448,FM1339,202.0,43076469094.0,22095760942.0,ERC000011,UNIBE-IG,2016-09-11T17:01:23Z,2016-07-12T14:18:48Z,public,ERS1246366,ERS1246366,Franches-Montagnes,Franches-Montagnes - female,,,
