Run,Alias,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA_CHECKLIST,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,Sample Name,sample_name,SRA_accession,SRA Study,title
ERR2749093,Iceland_HB_01,WGS,252,1810975068,PRJEB28294,SAMEA4844373,619638877,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-11-16,2018-11-16,ERX2762147,CEES,University of Oslo,2018-11-16T17:03:30Z,2018-08-21T10:08:23Z,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,1810,590,Equus caballus,ILLUMINA,2018-11-23T00:00:00Z,SAMEA4844373,ERS2664231,ERS2664231,ERP110480,Genetic sex-determination of ancient horse remains
ERR2749094,Iceland_HB_02,WGS,252,770956956,PRJEB28294,SAMEA4844374,273394870,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-11-16,2018-11-16,ERX2762148,CEES,University of Oslo,2018-11-16T17:03:30Z,2018-08-21T10:08:23Z,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,770,260,Equus caballus,ILLUMINA,2018-11-23T00:00:00Z,SAMEA4844374,ERS2664232,ERS2664232,ERP110480,Genetic sex-determination of ancient horse remains
ERR2749095,Iceland_HB_03,WGS,252,1601036388,PRJEB28294,SAMEA4844375,553594294,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-11-16,2018-11-16,ERX2762149,CEES,University of Oslo,2018-11-16T17:03:30Z,2018-08-21T10:08:23Z,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,1601,527,Equus caballus,ILLUMINA,2018-11-23T00:00:00Z,SAMEA4844375,ERS2664233,ERS2664233,ERP110480,Genetic sex-determination of ancient horse remains
ERR2749096,Iceland_HB_04,WGS,252,761148864,PRJEB28294,SAMEA4844376,280932830,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-11-16,2018-11-16,ERX2762150,CEES,University of Oslo,2018-11-16T17:03:30Z,2018-08-21T10:08:23Z,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,761,267,Equus caballus,ILLUMINA,2018-11-23T00:00:00Z,SAMEA4844376,ERS2664234,ERS2664234,ERP110480,Genetic sex-determination of ancient horse remains
ERR2749097,Iceland_HB_05,WGS,252,723285360,PRJEB28294,SAMEA4844377,264578862,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-11-16,2018-11-16,ERX2762151,CEES,University of Oslo,2018-11-16T17:03:30Z,2018-08-21T10:08:23Z,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,723,252,Equus caballus,ILLUMINA,2018-11-23T00:00:00Z,SAMEA4844377,ERS2664235,ERS2664235,ERP110480,Genetic sex-determination of ancient horse remains
ERR2749098,Iceland_HB_06,WGS,252,663670476,PRJEB28294,SAMEA4844378,247278625,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-11-16,2018-11-16,ERX2762152,CEES,University of Oslo,2018-11-16T17:03:30Z,2018-08-21T10:08:23Z,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,663,235,Equus caballus,ILLUMINA,2018-11-23T00:00:00Z,SAMEA4844378,ERS2664236,ERS2664236,ERP110480,Genetic sex-determination of ancient horse remains
ERR2749099,Iceland_HB_07,WGS,252,840244608,PRJEB28294,SAMEA4844379,314909522,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-11-16,2018-11-16,ERX2762153,CEES,University of Oslo,2018-11-16T17:03:30Z,2018-08-21T10:08:23Z,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,840,300,Equus caballus,ILLUMINA,2018-11-23T00:00:00Z,SAMEA4844379,ERS2664237,ERS2664237,ERP110480,Genetic sex-determination of ancient horse remains
ERR2749100,Iceland_HB_08,WGS,252,760967676,PRJEB28294,SAMEA4844380,281462775,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-11-16,2018-11-16,ERX2762154,CEES,University of Oslo,2018-11-16T17:03:30Z,2018-08-21T10:08:23Z,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,760,268,Equus caballus,ILLUMINA,2018-11-23T00:00:00Z,SAMEA4844380,ERS2664238,ERS2664238,ERP110480,Genetic sex-determination of ancient horse remains
ERR2749101,Iceland_HB_09,WGS,252,782391960,PRJEB28294,SAMEA4844381,285218289,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-11-16,2018-11-16,ERX2762155,CEES,University of Oslo,2018-11-16T17:03:30Z,2018-08-21T10:08:23Z,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,782,272,Equus caballus,ILLUMINA,2018-11-23T00:00:00Z,SAMEA4844381,ERS2664239,ERS2664239,ERP110480,Genetic sex-determination of ancient horse remains
ERR2749102,Iceland_HB_10,WGS,252,1050386652,PRJEB28294,SAMEA4844382,388041687,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-11-16,2018-11-16,ERX2762156,CEES,University of Oslo,2018-11-16T17:03:30Z,2018-08-21T10:08:23Z,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,1050,370,Equus caballus,ILLUMINA,2018-11-23T00:00:00Z,SAMEA4844382,ERS2664240,ERS2664240,ERP110480,Genetic sex-determination of ancient horse remains
ERR2749103,Iceland_HB_11,WGS,252,645187788,PRJEB28294,SAMEA4844383,238655667,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-11-16,2018-11-16,ERX2762157,CEES,University of Oslo,2018-11-16T17:03:30Z,2018-08-21T10:08:23Z,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,645,227,Equus caballus,ILLUMINA,2018-11-23T00:00:00Z,SAMEA4844383,ERS2664241,ERS2664241,ERP110480,Genetic sex-determination of ancient horse remains
ERR2749104,Iceland_HB_12,WGS,252,555310476,PRJEB28294,SAMEA4844384,203933588,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-11-16,2018-11-16,ERX2762158,CEES,University of Oslo,2018-11-16T17:03:30Z,2018-08-21T10:08:23Z,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,555,194,Equus caballus,ILLUMINA,2018-11-23T00:00:00Z,SAMEA4844384,ERS2664242,ERS2664242,ERP110480,Genetic sex-determination of ancient horse remains
ERR2749105,Iceland_HB_13,WGS,252,794976588,PRJEB28294,SAMEA4844385,293937218,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-11-16,2018-11-16,ERX2762159,CEES,University of Oslo,2018-11-16T17:03:30Z,2018-08-21T10:08:23Z,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,794,280,Equus caballus,ILLUMINA,2018-11-23T00:00:00Z,SAMEA4844385,ERS2664243,ERS2664243,ERP110480,Genetic sex-determination of ancient horse remains
ERR2749106,Iceland_HB_14,WGS,252,605090052,PRJEB28294,SAMEA4844386,222790735,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-11-16,2018-11-16,ERX2762160,CEES,University of Oslo,2018-11-16T17:03:30Z,2018-08-21T10:08:23Z,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,605,212,Equus caballus,ILLUMINA,2018-11-23T00:00:00Z,SAMEA4844386,ERS2664244,ERS2664244,ERP110480,Genetic sex-determination of ancient horse remains
ERR2749107,Iceland_HB_15,WGS,252,91940688,PRJEB28294,SAMEA4844387,34166359,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-11-16,2018-11-16,ERX2762161,CEES,University of Oslo,2018-11-16T17:03:30Z,2018-08-21T10:08:23Z,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,91,32,Equus caballus,ILLUMINA,2018-11-23T00:00:00Z,SAMEA4844387,ERS2664245,ERS2664245,ERP110480,Genetic sex-determination of ancient horse remains
ERR2749108,Iceland_HB_16,WGS,252,53101440,PRJEB28294,SAMEA4844388,19914215,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-11-16,2018-11-16,ERX2762162,CEES,University of Oslo,2018-11-16T17:03:30Z,2018-08-21T10:08:23Z,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,53,18,Equus caballus,ILLUMINA,2018-11-23T00:00:00Z,SAMEA4844388,ERS2664246,ERS2664246,ERP110480,Genetic sex-determination of ancient horse remains
ERR2749109,Iceland_HB_17,WGS,252,105155316,PRJEB28294,SAMEA4844389,39408176,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-11-16,2018-11-16,ERX2762163,CEES,University of Oslo,2018-11-16T17:03:30Z,2018-08-21T10:08:23Z,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,105,37,Equus caballus,ILLUMINA,2018-11-23T00:00:00Z,SAMEA4844389,ERS2664247,ERS2664247,ERP110480,Genetic sex-determination of ancient horse remains
ERR2749110,Iceland_HB_18,WGS,252,44950248,PRJEB28294,SAMEA4844390,16756397,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-11-16,2018-11-16,ERX2762164,CEES,University of Oslo,2018-11-16T17:03:30Z,2018-08-21T10:08:23Z,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,44,15,Equus caballus,ILLUMINA,2018-11-23T00:00:00Z,SAMEA4844390,ERS2664248,ERS2664248,ERP110480,Genetic sex-determination of ancient horse remains
ERR2749111,Iceland_HB_19,WGS,252,794797164,PRJEB28294,SAMEA4844391,292883733,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-11-16,2018-11-16,ERX2762165,CEES,University of Oslo,2018-11-16T17:03:30Z,2018-08-21T10:08:23Z,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,794,279,Equus caballus,ILLUMINA,2018-11-23T00:00:00Z,SAMEA4844391,ERS2664249,ERS2664249,ERP110480,Genetic sex-determination of ancient horse remains
ERR2749112,Iceland_HB_20,WGS,252,584117856,PRJEB28294,SAMEA4844392,218096712,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-11-16,2018-11-16,ERX2762166,CEES,University of Oslo,2018-11-16T17:03:30Z,2018-08-21T10:08:24Z,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,584,207,Equus caballus,ILLUMINA,2018-11-23T00:00:00Z,SAMEA4844392,ERS2664250,ERS2664250,ERP110480,Genetic sex-determination of ancient horse remains
ERR2749113,Iceland_HB_21,WGS,252,624472632,PRJEB28294,SAMEA4844393,230921544,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-11-16,2018-11-16,ERX2762167,CEES,University of Oslo,2018-11-16T17:03:30Z,2018-08-21T10:08:24Z,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,624,220,Equus caballus,ILLUMINA,2018-11-23T00:00:00Z,SAMEA4844393,ERS2664251,ERS2664251,ERP110480,Genetic sex-determination of ancient horse remains
ERR2749114,Iceland_HB_22,WGS,252,1480932684,PRJEB28294,SAMEA4844394,557571426,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-11-16,2018-11-16,ERX2762168,CEES,University of Oslo,2018-11-16T17:03:30Z,2018-08-21T10:08:24Z,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,1480,531,Equus caballus,ILLUMINA,2018-11-23T00:00:00Z,SAMEA4844394,ERS2664252,ERS2664252,ERP110480,Genetic sex-determination of ancient horse remains
