Run,Assay Type,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Alias,ENA_CHECKLIST,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,sample_name,SRA_accession,title,AvgSpotLen,Bases,Bytes,MBases,MBytes,AssemblyName,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,Sample name,Registration number,Period,Age (years ago) ,Site,latitude,longitude,Country,Species,Sex
ERR3223708,WGS,PRJEB31613,SAMEA5408142,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251171,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408142,ERP114186,Actiparc_GVA124_2143,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213452,ERS3213452,Actiparc_GVA124_2143,60.0,1579648.0,811339.0,1.0,0.0,,,,Actiparc_GVA124_2143,CGG_1_019382,Iron Age,2143,Actiparc,50.315,2.822,France,horse,male
ERR3223709,WGS,PRJEB31613,SAMEA5408143,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251172,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408143,ERP114186,Actiparc_GVA307_2127,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213453,ERS3213453,Actiparc_GVA307_2127,54.0,765934.0,477707.0,0.0,0.0,,,,Actiparc_GVA307_2127,CGG_1_019857,Iron Age,2127,Actiparc,50.315,2.822,France,horse,male
ERR3223710,WGS,PRJEB31613,SAMEA5408144,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251173,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408144,ERP114186,Actiparc_GVA308_2312,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213454,ERS3213454,Actiparc_GVA308_2312,63.0,2052578.0,1085210.0,2.0,1.0,,,,Actiparc_GVA308_2312,CGG_1_019858,Iron Age,2312,Actiparc,50.315,2.822,France,horse,female
ERR3223711,WGS,PRJEB31613,SAMEA5408145,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251174,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408145,ERP114186,Actiparc_GVA309_2302,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213455,ERS3213455,Actiparc_GVA309_2302,56.0,848601.0,512216.0,0.0,0.0,,,,Actiparc_GVA309_2302,CGG_1_019859,Iron Age,2302,Actiparc,50.315,2.822,France,horse,male
ERR3223712,WGS,PRJEB31613,SAMEA5408146,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251175,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408146,ERP114186,Actiparc_GVA311_2253,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213456,ERS3213456,Actiparc_GVA311_2253,52.0,762484.0,482054.0,0.0,0.0,,,,Actiparc_GVA311_2253,CGG_1_019861,Iron Age,2253,Actiparc,50.315,2.822,France,horse,male
ERR3223713,WGS,PRJEB31613,SAMEA5408147,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251176,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408147,ERP114186,Altata_NB31_Neolithic,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213457,ERS3213457,Altata_NB31_Neolithic,48.0,46065.0,120734.0,0.0,0.0,,,,Altata_NB31_Neolithic,CGG_1_017023,Neolithic,-,Altata,51.07,48.44,Russia,horse,male
ERR3223714,WGS,PRJEB31613,SAMEA5408148,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251177,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408148,ERP114186,ArzhanI_Arz3_2767,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213458,ERS3213458,ArzhanI_Arz3_2767,63.0,142322.0,154816.0,0.0,0.0,,,,ArzhanI_Arz3_2767,CGG_1_017089,Iron Age,2717-2817,Arzhan I,52.059,93.604,Russia,horse,male
ERR3223715,WGS,PRJEB31613,SAMEA5408149,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251178,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408149,ERP114186,ArzhanII_Arz15_2642,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213459,ERS3213459,ArzhanII_Arz15_2642,61.0,309138.0,241394.0,0.0,0.0,,,,ArzhanII_Arz15_2642,CGG_1_017084,Iron Age,2617-2667,Arzhan II,52.059,93.604,Russia,horse,male
ERR3223716,WGS,PRJEB31613,SAMEA5408150,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251179,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408150,ERP114186,ArzhanII_Arz17_2642,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213460,ERS3213460,ArzhanII_Arz17_2642,57.0,162370.0,166806.0,0.0,0.0,,,,ArzhanII_Arz17_2642,CGG_1_017086,Iron Age,2617-2667,Arzhan II,52.059,93.604,Russia,horse,male
ERR3223717,WGS,PRJEB31613,SAMEA5408151,CENTRE FOR GEOGENETICS,public,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2019-03-27,2019-03-14,ERX3251180,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2019-03-28T00:00:00Z,SAMEA5408151,ERP114186,ArzhanII_Rus11_2500,ERC000011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2019-03-27T17:05:16Z,2019-03-08T10:08:32Z,public,ERS3213461,ERS3213461,ArzhanII_Rus11_2500,64.0,73659.0,116066.0,0.0,0.0,,,,ArzhanII_Rus11_2500,CGG_1_019162,Iron Age,2500,Arzhan II,52.059,93.604,Russia,horse,male
