Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Breed,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,tissue
SRR3045342,WGS,GCF_000002305.2,189,17825885146,PRJNA306677,SAMN04359671,Model organism or animal,Standardbred,9770888213,UNIVERSITY OF ILLINOIS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1496488,Illumina HiSeq 2000,,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-01-14T00:00:00Z,M968,male,SRP067684,blood
SRR3045676,WGS,GCF_000002305.2,189,31492301859,PRJNA306677,SAMN04359672,Model organism or animal,Standardbred,17221684630,UNIVERSITY OF ILLINOIS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1496490,Illumina HiSeq 2000,,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-01-14T00:00:00Z,M977,female,SRP067684,blood
SRR3045847,WGS,GCF_000002305.2,189,17354176385,PRJNA306677,SAMN04359692,Model organism or animal,Standardbred,9465566962,UNIVERSITY OF ILLINOIS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1496595,Illumina HiSeq 2000,,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-01-14T00:00:00Z,M989,female,SRP067684,blood
SRR3045848,WGS,GCF_000002305.2,185,12519827366,PRJNA306677,SAMN04359693,Model organism or animal,Standardbred,7238648508,UNIVERSITY OF ILLINOIS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1496596,Illumina HiSeq 2000,,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-01-14T00:00:00Z,M992,male,SRP067684,blood
SRR3046833,WGS,GCF_000002305.2,187,31315345817,PRJNA306677,SAMN04359701,Model organism or animal,Standardbred,17649919288,UNIVERSITY OF ILLINOIS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1496939,Illumina HiSeq 2000,,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-01-14T00:00:00Z,M1027,male,SRP067684,blood
SRR3050542,WGS,GCF_000002305.2,188,28538655891,PRJNA306677,SAMN04359703,Model organism or animal,Standardbred,15788588538,UNIVERSITY OF ILLINOIS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1499184,Illumina HiSeq 2000,,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-01-14T00:00:00Z,M5256,male,SRP067684,hair
SRR3050543,WGS,GCF_000002305.2,195,14892858697,PRJNA306677,SAMN04359704,Model organism or animal,Standardbred,7974840813,UNIVERSITY OF ILLINOIS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1499185,Illumina HiSeq 2000,,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-01-14T00:00:00Z,M5259,female,SRP067684,hair
SRR3050547,WGS,GCF_000002305.2,195,11544553817,PRJNA306677,SAMN04359732,Model organism or animal,Standardbred,6190348381,UNIVERSITY OF ILLINOIS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1499189,Illumina HiSeq 2000,,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-01-14T00:00:00Z,M5287,female,SRP067684,hair
SRR3050550,WGS,GCF_000002305.2,189,23409626121,PRJNA306677,SAMN04359735,Model organism or animal,Standardbred,12828055550,UNIVERSITY OF ILLINOIS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1499192,Illumina HiSeq 2000,,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-01-14T00:00:00Z,M5306,female,SRP067684,hair
SRR3046827,WGS,GCF_000002305.2,188,15367033486,PRJNA306677,SAMN04359694,Model organism or animal,Standardbred,8571816006,UNIVERSITY OF ILLINOIS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1496933,Illumina HiSeq 2000,,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-01-14T00:00:00Z,M1005,male,SRP067684,blood
SRR3046831,WGS,GCF_000002305.2,194,19464374801,PRJNA306677,SAMN04359695,Model organism or animal,Standardbred,10540734162,UNIVERSITY OF ILLINOIS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1496937,Illumina HiSeq 2000,,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-01-14T00:00:00Z,M1009,male,SRP067684,blood
SRR3046832,WGS,GCF_000002305.2,194,19140895431,PRJNA306677,SAMN04359698,Model organism or animal,Standardbred,10459158045,UNIVERSITY OF ILLINOIS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1496938,Illumina HiSeq 2000,,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-01-14T00:00:00Z,M1012,male,SRP067684,blood
SRR3046834,WGS,GCF_000002305.2,194,19354884022,PRJNA306677,SAMN04359702,Model organism or animal,Standardbred,10504912565,UNIVERSITY OF ILLINOIS,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1496940,Illumina HiSeq 2000,,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2016-01-14T00:00:00Z,M1048,male,SRP067684,blood
