SAMEA3355589,ERR863167
SAMN01047695,SRR515203
SAMN03291461,SRR1769922
SAMN02439779,SRR1046147
SAMEA4075241,ERR1527947
SAMN04359701,SRR3046833
SAMN04359735,SRR3050550
SAMEA4075249,ERR1527955
SAMN04359734,SRR3050549
SAMEA3475186,ERR953404
SAMEA104357336,ERR2179541
SAMEA4351921,ERR1545178
SAMEA104357346,ERR2179551
SAMEA4075256,ERR1527962
SAMEA4075257,ERR1527963
SAMN01047704,SRR515214
SAMN06017258,SRR5131683
SAMEA104357343,ERR2179548
SAMN03009555,SRR1564424
SAMEA4075254,ERR1527960
SAMEA4075250,ERR1527956
SAMEA4351922,ERR1545179
SAMEA4075244,ERR1527950
SAMEA3475276,ERR953411
SAMN03952747,SRR2142163
SAMN01047701,SRR515211
SAMEA4075251,ERR1527957
SAMEA4075260,ERR1527966
SAMEA4351934,ERR1545189
SAMN04359705,SRR3050544
SAMEA4351928,ERR1545185
SAMEA4822838,ERR2731055
SAMEA104357341,ERR2179546
SAMN04359698,SRR3046832
SAMN01047694,SRR515202
SAMEA4351924,ERR1545181
SAMEA104357340,ERR2179545
SAMEA4351926,ERR1545183
SAMEA104357345,ERR2179550
SAMEA3367609,ERR868003
SAMN04359695,SRR3046831
SAMEA3367610,ERR868004
SAMEA4075245,ERR1527951
SAMN04359692,SRR3045847
SAMEA4059124,ERR1512897
SAMEA4822843,ERR2731060
SAMEA104357335,ERR2179540
SAMEA104357348,ERR2179553
SAMEA104399644,ERR2203766
SAMEA4822841,ERR2731058
SAMEA3889831,ERR1305962
SAMEA4552432,ERR1735862
SAMEA3504078,ERR982794
SAMN01047698,SRR515206
SAMEA3504070,ERR982786
SAMN01880951,SRR641366
SAMEA4822839,ERR2731056
SAMEA3889832,ERR1305963
SAMEA4075243,ERR1527949
SAMN04359733,SRR3050548
SAMEA4075255,ERR1527961
SAMEA4075266,ERR1527972
SAMN03291441,SRR1769892
SAMEA3889833,ERR1305964
SAMN03009554,SRR1564422
SAMN01880949,SRR641365
SAMEA4075258,ERR1527964
SAMEA4822844,ERR2731061
SAMEA104357344,ERR2179549
SAMN04359672,SRR3045676
SAMEA4075246,ERR1527952
SAMN02422919,SRR1048526
SAMEA4075262,ERR1527968
SAMN04359694,SRR3046827
SAMEA4822840,ERR2731057
SAMN01047706,SRR515216
SAMN04359704,SRR3050543
SAMN01047702,SRR515212
SAMN01047708,SRR515218
SAMEA3951218,ERR1397960
SAMN01880952,SRR641367
SAMN04359732,SRR3050547
SAMN03955413,SRR2142313
SAMEA5600769,ERR3317814
SAMN01047697,SRR515205
SAMEA4075263,ERR1527969
SAMEA3951222,ERR1397964
SAMN01047705,SRR515215
SAMEA104357337,ERR2179542
SAMN03291442,SRR1769893
SAMEA3951220,ERR1397962
SAMEA4351927,ERR1545184
SAMEA2421738,ERR466186
SAMEA4351923,ERR1545180
SAMN03952758,SRR2142269
SAMEA3951219,ERR1397961
SAMN02767683,SRR1275408
SAMEA4075252,ERR1527958
SAMEA104357338,ERR2179543
SAMEA4075248,ERR1527954
SAMEA4822842,ERR2731059
SAMEA104357350,ERR2179555
SAMEA4075242,ERR1527948
SAMN04359693,SRR3045848
SAMEA3475296,ERR953412
SAMEA4351930,ERR1545186
SAMEA3951223,ERR1397965
SAMEA4351931,ERR1545187
SAMEA3475316,ERR953413
SAMEA3889830,ERR1305961
SAMN04359703,SRR3050542
SAMN01047703,SRR515213
SAMEA4351925,ERR1545182
SAMN01047707,SRR515217
SAMEA3951217,ERR1397959
SAMEA4075247,ERR1527953
SAMEA104357339,ERR2179544
SAMN06017257,SRR5131682
SAMN01880950,SRR641364
SAMEA4075264,ERR1527970
SAMN01047699,SRR515208
SAMN02439782,SRR1046151
SAMEA104357347,ERR2179552
SAMEA4075265,ERR1527971
SAMEA104357349,ERR2179554
SAMEA4075253,ERR1527959
SAMN01047693,SRR505867
SAMEA4075261,ERR1527967
SAMEA4351932,ERR1545190
SAMEA104357342,ERR2179547
SAMN06028168,SRR5131681
SAMN01047696,SRR515204
SAMEA4075259,ERR1527965
SAMEA3951221,ERR1397963
SAMN01047700,SRR515209
SAMN04359720,SRR3050546
SAMN03291459,SRR1790681
