Run,Alias,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Description,ENA_CHECKLIST,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_name,SRA_accession,SRA Study,title
ERR988478,ABC9779_11850,WGS,101,606000000,PRJEB10532,SAMEA3514283,266569024,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1","CGG_1_011850 YT03 / 40 / ABC9779 Equus ferus Irish Gulch Central Alaska\, USA",ERC000011,2015-09-17,2018-11-16,ERX1069736,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:46Z,public,Illumina HiSeq 2500,ABC9926_Y2_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Equus ferus,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514283,ERS821432,ERS821432,ERP011795,ABC9779_11850
ERR988479,CDM4,WGS,101,606000000,PRJEB10532,SAMEA3514285,300142731,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1","CGG_1_017438 CDM4 Hippidion saldiasi Cueva del Milodón Magallanes\, Southern Chile",ERC000011,2015-09-17,2018-11-16,ERX1069737,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:47Z,public,Illumina HiSeq 2500,CDM4_D1_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Hippidion saldiasi,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514285,ERS821434,ERS821434,ERP011795,CDM4
ERR988480,838-64_NB46,WGS,101,606000000,PRJEB10532,SAMEA3514287,303247517,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1","CGG_1_017038 838-64 Equus caballus Botay Chelyabinsk region\, Southwestern Russia",ERC000011,2015-09-17,2018-11-16,ERX1069738,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:47Z,public,Illumina HiSeq 2500,838-64_S2_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514287,ERS821436,ERS821436,ERP011795,838-64_NB46
ERR988482,ABC9779_11850,WGS,101,407174632,PRJEB10532,SAMEA3514283,177393565,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1","CGG_1_011850 YT03 / 40 / ABC9779 Equus ferus Irish Gulch Central Alaska\, USA",ERC000011,2015-09-17,2018-11-16,ERX1069740,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:46Z,public,Illumina HiSeq 2500,ABC9926_S1_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Equus ferus,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514283,ERS821432,ERS821432,ERP011795,ABC9779_11850
ERR988483,ABC9779_11850,WGS,101,606000000,PRJEB10532,SAMEA3514283,274274712,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1","CGG_1_011850 YT03 / 40 / ABC9779 Equus ferus Irish Gulch Central Alaska\, USA",ERC000011,2015-09-17,2018-11-16,ERX1069741,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:46Z,public,Illumina HiSeq 2500,ABC9926_S1_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Equus ferus,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514283,ERS821432,ERS821432,ERP011795,ABC9779_11850
ERR988485,CDM4,WGS,101,606000000,PRJEB10532,SAMEA3514285,258914369,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1","CGG_1_017438 CDM4 Hippidion saldiasi Cueva del Milodón Magallanes\, Southern Chile",ERC000011,2015-09-17,2018-11-16,ERX1069743,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:47Z,public,Illumina HiSeq 2500,CDM4_D1_gold_LigB_6M,SINGLE,RANDOM,GENOMIC,Hippidion saldiasi,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514285,ERS821434,ERS821434,ERP011795,CDM4
ERR988487,CDM4,WGS,101,606000000,PRJEB10532,SAMEA3514285,259965235,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1","CGG_1_017438 CDM4 Hippidion saldiasi Cueva del Milodón Magallanes\, Southern Chile",ERC000011,2015-09-17,2018-11-16,ERX1069745,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:47Z,public,Illumina HiSeq 2500,CDM4_Y1_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Hippidion saldiasi,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514285,ERS821434,ERS821434,ERP011795,CDM4
ERR988490,ABC9926_11849,WGS,101,606000000,PRJEB10532,SAMEA3514284,269092995,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1","CGG_1_011849 YT03 / 185 / ABC9926 Equus ferus Irish Gulch Central Alaska\, USA",ERC000011,2015-09-17,2018-11-16,ERX1069748,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:46Z,public,Illumina HiSeq 2500,ABC9779_S1_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Equus ferus,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514284,ERS821433,ERS821433,ERP011795,ABC9926_11849
ERR988492,ABC9926_11849,WGS,101,606000000,PRJEB10532,SAMEA3514284,297509119,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1","CGG_1_011849 YT03 / 185 / ABC9926 Equus ferus Irish Gulch Central Alaska\, USA",ERC000011,2015-09-17,2018-11-16,ERX1069750,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:46Z,public,Illumina HiSeq 2500,ABC9779_Y1_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Equus ferus,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514284,ERS821433,ERS821433,ERP011795,ABC9926_11849
ERR988494,CDM4,WGS,101,606000000,PRJEB10532,SAMEA3514285,269313615,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1","CGG_1_017438 CDM4 Hippidion saldiasi Cueva del Milodón Magallanes\, Southern Chile",ERC000011,2015-09-17,2018-11-16,ERX1069752,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:47Z,public,Illumina HiSeq 2500,CDM4_D2_gold_LigB_6M,SINGLE,RANDOM,GENOMIC,Hippidion saldiasi,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514285,ERS821434,ERS821434,ERP011795,CDM4
