Run,Alias,Assay Type,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA_CHECKLIST,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_name,SRA_accession,SRA Study,title
ERR1414109,CGG1017079,Targeted-Capture,PRJEB13983,SAMEA3986273,"CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF ",public,bam,ena,ena,ERC000011,2016-10-07,2018-11-16,ERX1484894,"CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK",2016-10-07T17:01:33Z,2016-05-11T16:09:13Z,public,Illumina HiSeq 2500,unspecified,SINGLE,Hybrid Selection,GENOMIC,Equus caballus,ILLUMINA,2016-10-09T00:00:00Z,SAMEA3986273,ERS1157383,ERS1157383,ERP015571,Arz1 (57.5%)
ERR1414110,CGG1017079,Targeted-Capture,PRJEB13983,SAMEA3986273,"CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF ",public,bam,ena,ena,ERC000011,2016-10-07,2018-11-16,ERX1484895,"CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK",2016-10-07T17:01:33Z,2016-05-11T16:09:13Z,public,Illumina HiSeq 2500,unspecified,SINGLE,Hybrid Selection,GENOMIC,Equus caballus,ILLUMINA,2016-10-09T00:00:00Z,SAMEA3986273,ERS1157383,ERS1157383,ERP015571,Arz1 (57.5%)
ERR1414111,CGG1017079,Targeted-Capture,PRJEB13983,SAMEA3986273,"CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF ",public,bam,ena,ena,ERC000011,2016-10-07,2018-11-16,ERX1484896,"CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK",2016-10-07T17:01:33Z,2016-05-11T16:09:13Z,public,Illumina HiSeq 2500,unspecified,SINGLE,Hybrid Selection,GENOMIC,Equus caballus,ILLUMINA,2016-10-09T00:00:00Z,SAMEA3986273,ERS1157383,ERS1157383,ERP015571,Arz1 (57.5%)
ERR1414112,CGG1017079,Targeted-Capture,PRJEB13983,SAMEA3986273,"CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF ",public,bam,ena,ena,ERC000011,2016-10-07,2018-11-16,ERX1484897,"CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK",2016-10-07T17:01:33Z,2016-05-11T16:09:13Z,public,Illumina HiSeq 2500,unspecified,SINGLE,Hybrid Selection,GENOMIC,Equus caballus,ILLUMINA,2016-10-09T00:00:00Z,SAMEA3986273,ERS1157383,ERS1157383,ERP015571,Arz1 (57.5%)
ERR1414113,CGG1017079,WGS,PRJEB13983,SAMEA3986273,"CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF ",public,bam,ena,ena,ERC000011,2016-10-07,2018-11-16,ERX1484898,"CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK",2016-10-07T17:01:33Z,2016-05-11T16:09:13Z,public,Illumina HiSeq 2500,unspecified,SINGLE,Hybrid Selection,GENOMIC,Equus caballus,ILLUMINA,2016-10-09T00:00:00Z,SAMEA3986273,ERS1157383,ERS1157383,ERP015571,Arz1 (57.5%)
ERR1414114,CGG1017079,OTHER,PRJEB13983,SAMEA3986273,"CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF ",public,bam,ena,ena,ERC000011,2016-10-07,2018-11-16,ERX1484899,"CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK",2016-10-07T17:01:33Z,2016-05-11T16:09:13Z,public,Illumina HiSeq 2500,unspecified,SINGLE,Hybrid Selection,GENOMIC,Equus caballus,ILLUMINA,2016-10-09T00:00:00Z,SAMEA3986273,ERS1157383,ERS1157383,ERP015571,Arz1 (57.5%)
ERR1414115,CGG1017088,Targeted-Capture,PRJEB13983,SAMEA3986272,"CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF ",public,bam,ena,ena,ERC000011,2016-10-07,2018-11-16,ERX1484900,"CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK",2016-10-07T17:01:33Z,2016-05-11T16:09:13Z,public,Illumina HiSeq 2500,unspecified,SINGLE,Hybrid Selection,GENOMIC,Equus caballus,ILLUMINA,2016-10-09T00:00:00Z,SAMEA3986272,ERS1157382,ERS1157382,ERP015571,Arz2 (32.2%)
ERR1414116,CGG1017088,Targeted-Capture,PRJEB13983,SAMEA3986272,"CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF ",public,bam,ena,ena,ERC000011,2016-10-07,2018-11-16,ERX1484901,"CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK",2016-10-07T17:01:33Z,2016-05-11T16:09:13Z,public,Illumina HiSeq 2500,unspecified,SINGLE,Hybrid Selection,GENOMIC,Equus caballus,ILLUMINA,2016-10-09T00:00:00Z,SAMEA3986272,ERS1157382,ERS1157382,ERP015571,Arz2 (32.2%)
ERR1414117,CGG1017088,Targeted-Capture,PRJEB13983,SAMEA3986272,"CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF ",public,bam,ena,ena,ERC000011,2016-10-07,2018-11-16,ERX1484902,"CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK",2016-10-07T17:01:33Z,2016-05-11T16:09:13Z,public,Illumina HiSeq 2500,unspecified,SINGLE,Hybrid Selection,GENOMIC,Equus caballus,ILLUMINA,2016-10-09T00:00:00Z,SAMEA3986272,ERS1157382,ERS1157382,ERP015571,Arz2 (32.2%)
ERR1414118,CGG1017088,Targeted-Capture,PRJEB13983,SAMEA3986272,"CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF ",public,bam,ena,ena,ERC000011,2016-10-07,2018-11-16,ERX1484903,"CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK",2016-10-07T17:01:33Z,2016-05-11T16:09:13Z,public,Illumina HiSeq 2500,unspecified,SINGLE,Hybrid Selection,GENOMIC,Equus caballus,ILLUMINA,2016-10-09T00:00:00Z,SAMEA3986272,ERS1157382,ERS1157382,ERP015571,Arz2 (32.2%)
