Run,Alias,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Description,ENA_CHECKLIST,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,Sample Name,sample_name,SRA_accession,SRA Study,title
ERR1659870,1COD027_BLESD,WGS,252,837664380,PRJEB15516,SAMEA4465527,285570406,UNIVERSITY OF OSLO,public,"contigs,fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD027_BLESD,ERC000011,2016-09-29,2018-11-16,ERX1730188,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:27Z,public,Illumina HiSeq 2500,COD027_BLESD,PAIRED,RANDOM,GENOMIC,837,272,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465527,ERS1364706,ERS1364706,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659871,2COD027_BLEDD,WGS,252,1965830328,PRJEB15516,SAMEA4465528,780146524,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD027_BLEDD,ERC000011,2016-09-29,2018-11-16,ERX1730189,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:27Z,public,Illumina HiSeq 2500,COD027_BLEDD,PAIRED,RANDOM,GENOMIC,1965,744,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465528,ERS1364707,ERS1364707,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659872,3COD027_BLEDD,WGS,252,221236344,PRJEB15516,SAMEA4465529,76170529,UNIVERSITY OF OSLO,public,"contigs,fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD027_BLEDD,ERC000011,2016-09-29,2018-11-16,ERX1730190,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:27Z,public,Illumina HiSeq 2500,COD027_BLEDD,PAIRED,RANDOM,GENOMIC,221,72,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465529,ERS1364708,ERS1364708,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659874,5COD027_DD,WGS,252,4625608428,PRJEB15516,SAMEA4465531,1837481289,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD027_DD,ERC000011,2016-09-29,2018-11-16,ERX1730192,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:27Z,public,Illumina HiSeq 2500,COD027_DD,PAIRED,RANDOM,GENOMIC,4625,1752,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465531,ERS1364710,ERS1364710,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659875,6COD027_DD,WGS,252,491878800,PRJEB15516,SAMEA4465532,167125687,UNIVERSITY OF OSLO,public,"contigs,fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD027_DD,ERC000011,2016-09-29,2018-11-16,ERX1730193,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:27Z,public,Illumina HiSeq 2500,COD027_DD,PAIRED,RANDOM,GENOMIC,491,159,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465532,ERS1364711,ERS1364711,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659876,7COD028_BLESD,WGS,252,1078134120,PRJEB15516,SAMEA4465533,369143568,UNIVERSITY OF OSLO,public,"contigs,fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD028_BLESD,ERC000011,2016-09-29,2018-11-16,ERX1730194,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:27Z,public,Illumina HiSeq 2500,COD028_BLESD,PAIRED,RANDOM,GENOMIC,1078,352,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465533,ERS1364712,ERS1364712,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659879,10COD028_SD,WGS,252,235719792,PRJEB15516,SAMEA4465536,80643089,UNIVERSITY OF OSLO,public,"contigs,fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD028_SD,ERC000011,2016-09-29,2018-11-16,ERX1730197,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:27Z,public,Illumina HiSeq 2500,COD028_SD,PAIRED,RANDOM,GENOMIC,235,76,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465536,ERS1364715,ERS1364715,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659881,12COD028_DD,WGS,252,389423664,PRJEB15516,SAMEA4465538,132665991,UNIVERSITY OF OSLO,public,"contigs,fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD028_DD,ERC000011,2016-09-29,2018-11-16,ERX1730199,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:27Z,public,Illumina HiSeq 2500,COD028_DD,PAIRED,RANDOM,GENOMIC,389,126,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465538,ERS1364717,ERS1364717,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659882,13COD029_BLESD,WGS,252,397416852,PRJEB15516,SAMEA4465539,137735424,UNIVERSITY OF OSLO,public,"contigs,fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD029_BLESD,ERC000011,2016-09-29,2018-11-16,ERX1730200,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:27Z,public,Illumina HiSeq 2500,COD029_BLESD,PAIRED,RANDOM,GENOMIC,397,131,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465539,ERS1364718,ERS1364718,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659883,14COD029_BLEDD,WGS,252,3362125788,PRJEB15516,SAMEA4465540,1341549476,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD029_BLEDD,ERC000011,2016-09-29,2018-11-16,ERX1730201,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:27Z,public,Illumina HiSeq 2500,COD029_BLEDD,PAIRED,RANDOM,GENOMIC,3362,1279,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465540,ERS1364719,ERS1364719,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
