Run,Alias,Assay Type,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA_CHECKLIST,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_name,SRA_accession,SRA Study,title,AvgSpotLen,Bases,Bytes,INSDC_center_alias,Description
ERR1885459,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945957,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_E16.1_user_TGTCTG,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,1407577006,487561613,CENTRE FOR GEOGENETICS,
ERR1885460,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945958,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_E16.2_user_GACCGG,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,994122396,439498223,CENTRE FOR GEOGENETICS,
ERR1885461,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945959,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_E16.2_user_GACCGG,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,4126930397,1976698118,CENTRE FOR GEOGENETICS,
ERR1885462,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945960,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_E16.2_user_GACCGG,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,1069488091,374633707,CENTRE FOR GEOGENETICS,
ERR1885463,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945961,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_E9.Dab2nd_NOuser_CTATCA,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,94,1614619952,1108239758,CENTRE FOR GEOGENETICS,
ERR1885464,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945962,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_SCY2.1_user_ACGCAT,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,4420478110,2060591487,CENTRE FOR GEOGENETICS,
ERR1885465,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945963,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_SCY2.1_user_ACGCAT,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,13336879714,6145583295,CENTRE FOR GEOGENETICS,
ERR1885466,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945964,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_SCY2.1_user_ACGCAT,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,1846894080,808404696,CENTRE FOR GEOGENETICS,
ERR1885467,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945965,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_SCY2.1_user_ACGCAT,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,7698498760,3650026211,CENTRE FOR GEOGENETICS,
ERR1885468,BER01_A,WGS,PRJEB19970,SAMEA103910511,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1945966,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,BER01_A_SCY2.1_user_ACGCAT,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910511,ERS1599679,ERS1599679,ERP022066,BEREL,101,2174574238,756736955,CENTRE FOR GEOGENETICS,
