Run,Alias,Assay Type,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA_CHECKLIST,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_name,SRA_accession,SRA Study,title,AvgSpotLen,Bases,Bytes,MBases,MBytes
ERR1883340,BER04_D,Targeted-Capture,PRJEB20000,SAMEA103910513,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943841,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,Capture_E2_LO_L3_D2a_GATCAG_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910513,ERS1599681,ERS1599681,ERP022101,BEREL,81,447265962,207473413,447,197
ERR1883341,BER05_E,Targeted-Capture,PRJEB20000,SAMEA103910514,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943842,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_LO_L3_E2a_TAGCTT_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910514,ERS1599682,ERS1599682,ERP022101,BEREL,81,514273536,236091967,514,225
ERR1883342,BER07_G,Targeted-Capture,PRJEB20000,SAMEA103910516,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943843,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_LO_L3_G2a_CTATCA_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910516,ERS1599684,ERS1599684,ERP022101,BEREL,81,349969410,163719471,349,156
ERR1883343,BER08_H,Targeted-Capture,PRJEB20000,SAMEA103910517,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943844,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_LO_L3_H2a_ACATAC_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910517,ERS1599685,ERS1599685,ERP022101,BEREL,81,1167222879,519916390,1167,495
ERR1883344,I-K3_Arz2,Targeted-Capture,PRJEB20000,SAMEA103910523,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943845,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_LO_L3_I-K3-ARZ2_a_CTCTAG_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910523,ERS1599691,ERS1599691,ERP022101,BEREL,81,1144976229,527887647,1144,503
ERR1883345,BER11_L,Targeted-Capture,PRJEB20000,SAMEA103910520,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943846,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_LO_L3_L2a_ACTGCC_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910520,ERS1599688,ERS1599688,ERP022101,BEREL,81,1620224856,731748219,1620,697
ERR1883346,BER04_D,Targeted-Capture,PRJEB20000,SAMEA103910513,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943847,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:17Z,public,Illumina HiSeq 2500,Capture_E2_LO_L4_D2b_ACATAC_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910513,ERS1599681,ERS1599681,ERP022101,BEREL,81,67071564,31451059,67,29
ERR1883347,BER05_E,Targeted-Capture,PRJEB20000,SAMEA103910514,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943848,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_LO_L4_E2b_TGCATA_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910514,ERS1599682,ERS1599682,ERP022101,BEREL,81,353670624,162254045,353,154
ERR1883348,BER06_F,Targeted-Capture,PRJEB20000,SAMEA103910515,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943849,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_LO_L4_F2a_GGCTAC_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910515,ERS1599683,ERS1599683,ERP022101,BEREL,81,950477733,436631226,950,416
ERR1883349,BER07_G,Targeted-Capture,PRJEB20000,SAMEA103910516,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943850,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_LO_L4_G2b_ACTGCC_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910516,ERS1599684,ERS1599684,ERP022101,BEREL,81,658475001,308298687,658,294
ERR1883350,BER08_H,Targeted-Capture,PRJEB20000,SAMEA103910517,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943851,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_LO_L4_H2b_GCAACG_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910517,ERS1599685,ERS1599685,ERP022101,BEREL,81,1897682337,840355757,1897,801
ERR1883351,I-K3_Arz2,Targeted-Capture,PRJEB20000,SAMEA103910523,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943852,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_LO_L4_I-K3-ARZ2_b_TTAGGC_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910523,ERS1599691,ERS1599691,ERP022101,BEREL,81,945153684,436754205,945,416
ERR1883352,BER11_L,Targeted-Capture,PRJEB20000,SAMEA103910520,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943853,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_LO_L4_L2b_CACGAA_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910520,ERS1599688,ERS1599688,ERP022101,BEREL,81,1456977294,653621509,1456,623
ERR1883353,I-K2_Arz1,Targeted-Capture,PRJEB20000,SAMEA103910522,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943854,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_LO_L5_CAP_ARZ1_2a_TGTCTG_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910522,ERS1599690,ERS1599690,ERP022101,BEREL,81,2315615688,1063219343,2315,1013
ERR1883354,BER06_F,Targeted-Capture,PRJEB20000,SAMEA103910515,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943855,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_LO_L5_F2b_ACGCAT_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910515,ERS1599683,ERS1599683,ERP022101,BEREL,81,1159139322,532166375,1159,507
ERR1883355,BER09_I,Targeted-Capture,PRJEB20000,SAMEA103910518,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943856,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_LO_L5_I2a_TGCATA_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910518,ERS1599686,ERS1599686,ERP022101,BEREL,81,64663110,29173840,64,27
ERR1883356,BER10_K,Targeted-Capture,PRJEB20000,SAMEA103910519,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943857,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_LO_L5_K2a_ACGCAT_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910519,ERS1599687,ERS1599687,ERP022101,BEREL,81,1819042434,813927223,1819,776
ERR1883357,BER12_M,Targeted-Capture,PRJEB20000,SAMEA103910521,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943858,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_LO_L5_M2a_GCAACG_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910521,ERS1599689,ERS1599689,ERP022101,BEREL,81,1144562724,528341593,1144,503
ERR1883358,I-K2_Arz1,Targeted-Capture,PRJEB20000,SAMEA103910522,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943859,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_LO_L6_Capture_CAP_ARZ1_2b_CGATGT_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910522,ERS1599690,ERS1599690,ERP022101,BEREL,81,1958058198,901805286,1958,860
ERR1883359,BER09_I,Targeted-Capture,PRJEB20000,SAMEA103910518,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2017-04-28,2018-11-16,ERX1943860,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2017-04-28T17:01:34Z,2017-03-13T14:18:18Z,public,Illumina HiSeq 2500,Capture_E2_LO_L6_I2b_TGTCTG_U,SINGLE,other,GENOMIC,Equus caballus,ILLUMINA,2017-04-29T00:00:00Z,SAMEA103910518,ERS1599686,ERS1599686,ERP022101,BEREL,81,84219507,37892117,84,36
