Run,Alias,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,dangling_references (run),DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA_CHECKLIST,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,Sample Name,sample_name,SRA_accession,SRA Study,title
ERR2112715,Actiparc_GVA310_2319,WGS,GCA_000002305.1,60,6528249208,PRJEB22390,SAMEA104233649,1697120351,CENTRE FOR GEOGENETICS,public,treat_as_unmapped,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-03-13,2018-11-16,ERX2169959,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2018-03-13T17:03:03Z,2017-09-01T13:06:38Z,public,Illumina HiSeq 4000,unspecified,PAIRED,RANDOM,GENOMIC,6528,1618,Equus caballus,ILLUMINA,2018-03-14T00:00:00Z,SAMEA104233649,ERS1892667,ERS1892667,ERP104070,Actiparc_GVA310_2319
ERR2112716,Botai_C_5500,WGS,GCA_000002305.1,53,7281760598,PRJEB22390,SAMEA104233663,2077789106,CENTRE FOR GEOGENETICS,public,treat_as_unmapped,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-03-13,2018-11-16,ERX2169960,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2018-03-13T17:03:03Z,2017-09-01T13:06:38Z,public,Illumina HiSeq 4000,unspecified,PAIRED,RANDOM,GENOMIC,7281,1981,Equus caballus,ILLUMINA,2018-03-14T00:00:00Z,SAMEA104233663,ERS1892681,ERS1892681,ERP104070,Botai_C_5500
ERR2112717,Botai_G_5500,WGS,GCA_000002305.1,62,10976250507,PRJEB22390,SAMEA104233669,2508255888,CENTRE FOR GEOGENETICS,public,treat_as_unmapped,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-03-13,2018-11-16,ERX2169961,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2018-03-13T17:03:03Z,2017-09-01T13:06:38Z,public,Illumina HiSeq 4000,unspecified,PAIRED,RANDOM,GENOMIC,10976,2392,Equus caballus,ILLUMINA,2018-03-14T00:00:00Z,SAMEA104233669,ERS1892687,ERS1892687,ERP104070,Botai_G_5500
ERR2112763,Bateni_Rus14_3318,WGS,GCA_000002305.1,57,4329272051,PRJEB22390,SAMEA104233650,1325855562,CENTRE FOR GEOGENETICS,public,treat_as_unmapped,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-03-13,2018-11-16,ERX2170007,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2018-03-13T17:03:03Z,2017-09-01T13:06:38Z,public,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,4329,1264,Equus caballus,ILLUMINA,2018-03-14T00:00:00Z,SAMEA104233650,ERS1892668,ERS1892668,ERP104070,Bateni_Rus14_3318
ERR2112766,Borly4_PAVH6_5012,WGS,GCA_000002305.1,54,11295388895,PRJEB22390,SAMEA104233653,3169334211,CENTRE FOR GEOGENETICS,public,treat_as_unmapped,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-03-13,2018-11-16,ERX2170010,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2018-03-13T17:03:03Z,2017-09-01T13:06:38Z,public,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,11295,3022,Equus caballus,ILLUMINA,2018-03-14T00:00:00Z,SAMEA104233653,ERS1892671,ERS1892671,ERP104070,Borly4_PAVH6_5012
ERR2112767,Borly4_PAVH8_4978,WGS,GCA_000002305.1,53,22747968115,PRJEB22390,SAMEA104233654,6080066416,CENTRE FOR GEOGENETICS,public,treat_as_unmapped,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-03-13,2018-11-16,ERX2170011,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2018-03-13T17:03:03Z,2017-09-01T13:06:38Z,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,22747,5798,Equus caballus,ILLUMINA,2018-03-14T00:00:00Z,SAMEA104233654,ERS1892672,ERS1892672,ERP104070,Borly4_PAVH8_4978
ERR2112769,Botai_1_5500,WGS,GCA_000002305.1,54,21088944712,PRJEB22390,SAMEA104233656,6153388159,CENTRE FOR GEOGENETICS,public,treat_as_unmapped,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-03-13,2018-11-16,ERX2170013,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2018-03-13T17:03:03Z,2017-09-01T13:06:38Z,public,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,21088,5868,Equus caballus,ILLUMINA,2018-03-14T00:00:00Z,SAMEA104233656,ERS1892674,ERS1892674,ERP104070,Botai_1_5500
ERR2112771,Botai_3_5500,WGS,GCA_000002305.1,54,7557033075,PRJEB22390,SAMEA104233658,2467478534,CENTRE FOR GEOGENETICS,public,treat_as_unmapped,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-03-13,2018-11-16,ERX2170015,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2018-03-13T17:03:03Z,2017-09-01T13:06:38Z,public,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,7557,2353,Equus caballus,ILLUMINA,2018-03-14T00:00:00Z,SAMEA104233658,ERS1892676,ERS1892676,ERP104070,Botai_3_5500
ERR2112772,Botai_4_5500,WGS,GCA_000002305.1,52,22820403918,PRJEB22390,SAMEA104233659,6798066219,CENTRE FOR GEOGENETICS,public,treat_as_unmapped,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-03-13,2018-11-16,ERX2170016,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2018-03-13T17:03:03Z,2017-09-01T13:06:38Z,public,Illumina HiSeq 2500,unspecified,SINGLE,RANDOM,GENOMIC,22820,6483,Equus caballus,ILLUMINA,2018-03-14T00:00:00Z,SAMEA104233659,ERS1892677,ERS1892677,ERP104070,Botai_4_5500
ERR2112774,Botai_6_5500,WGS,GCA_000002305.1,60,21336019577,PRJEB22390,SAMEA104233661,5317656746,CENTRE FOR GEOGENETICS,public,treat_as_unmapped,"bam,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2018-03-13,2018-11-16,ERX2170018,CENTRE FOR GEOGENETICS,CENTRE FOR GEOGENETICS,2018-03-13T17:03:03Z,2017-09-01T13:06:38Z,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,GENOMIC,21336,5071,Equus caballus,ILLUMINA,2018-03-14T00:00:00Z,SAMEA104233661,ERS1892679,ERS1892679,ERP104070,Botai_6_5500
