Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study
SRR516118,WGS,198,55948761990,PRJNA169102,SAMN01057172,36982907747,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX156082,Illumina HiSeq 2000,P06074M1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,P06074M1,SRP013860
SRR571146,RNA-Seq,49,935807880,PRJNA169102,SAMN01178027,594885580,SEOUL NATIONAL UNIVERSITY VETERINARY MEDICINE,public,sra,"gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX187163,Illumina HiSeq 2000,,SINGLE,size fractionation,TRANSCRIPTOMIC,Equus caballus,ILLUMINA,2015-07-22T00:00:00Z,LIVER_2S,SRP013860
SRR527799,WGS,198,1711654758,PRJNA169102,SAMN01057173,1149841535,SEOUL NATIONAL UNIVERSITY,public,sra,"ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX156083,Illumina HiSeq 2000,P06115M1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,P06115M1,SRP013860
SRR527800,WGS,198,4979487546,PRJNA169102,SAMN01057173,3299779344,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX156083,Illumina HiSeq 2000,P06115M1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,P06115M1,SRP013860
SRR527801,WGS,198,4075917318,PRJNA169102,SAMN01057173,2740150539,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX156083,Illumina HiSeq 2000,P06115M1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,P06115M1,SRP013860
SRR527802,WGS,197,12638883232,PRJNA169102,SAMN01057173,8520627569,SEOUL NATIONAL UNIVERSITY,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX156083,Illumina HiSeq 2000,P06115M1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,P06115M1,SRP013860
SRR527803,WGS,198,4518519390,PRJNA169102,SAMN01057171,2944648539,SEOUL NATIONAL UNIVERSITY,public,sra,"s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX156081,Illumina HiSeq 2000,P00033F1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,P00033F1,SRP013860
SRR527804,WGS,198,6071243706,PRJNA169102,SAMN01057171,3950748032,SEOUL NATIONAL UNIVERSITY,public,sra,"s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX156081,Illumina HiSeq 2000,P00033F1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,P00033F1,SRP013860
SRR527805,WGS,198,3719401686,PRJNA169102,SAMN01057171,2442968767,SEOUL NATIONAL UNIVERSITY,public,sra,"ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX156081,Illumina HiSeq 2000,P00033F1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,P00033F1,SRP013860
SRR527806,WGS,198,8350403490,PRJNA169102,SAMN01057171,5469828018,SEOUL NATIONAL UNIVERSITY,public,sra,"ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX156081,Illumina HiSeq 2000,P00033F1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,P00033F1,SRP013860
