Horse ID,Average depth-of-coverage,Breed,Study Accession
FrMo_0044A_FM0431,11.04,Franches-Montagnes,PRJEB10098
FrMo_0045A_FM0450,15.57,Franches-Montagnes,PRJEB10098
FrMo_0046A_FM0467,14.45,Franches-Montagnes,PRJEB10098
FrMo_0052A_FM1030,16.01,Franches-Montagnes,PRJEB10098
FrMo_0053A_FM1041,7.54,Franches-Montagnes,PRJEB10098
FrMo_0057A_FM1190,15.43,Franches-Montagnes,PRJEB10098
FrMo_0063A_FM1625,13.32,Franches-Montagnes,PRJEB10098
FrMo_0064A_FM1785,14.1,Franches-Montagnes,PRJEB10098
FrMo_0065A_FM1798,21.43,Franches-Montagnes,PRJEB10098
FrMo_0066A_FM1932,10.26,Franches-Montagnes,PRJEB10098
FrMo_0067A_FM1948,8.18,Franches-Montagnes,PRJEB10098
FrMo_0068A_FM1951,18.25,Franches-Montagnes,PRJEB10098
Mong_0153A_KB7754,19.46,Mongolian,PRJEB10098
Morg_0096A_EMS595,15.14,Morgan,PRJEB10098
Quar_0070A_A1543,13.53,American Quarter,PRJEB10098
Quar_0073A_A2085,12.66,American Quarter,PRJEB10098
Quar_0074A_A5659,14.58,American Quarter,PRJEB10098
Quar_0075A_A5964,15.14,American Quarter,PRJEB10098
Stan_0078A_M977,13.31,Standardbred,PRJEB10098
Stan_0081A_M5256,11.99,Standardbred,PRJEB10098
Stan_0090A_M1009,7.27,Standardbred,PRJEB10098
Prze_0150A_KB3879,22.88,Przewalski,PRJEB10098
Prze_0151A_KB7674,19.67,Przewalski,PRJEB10098
Prze_0152A_KB7713,19.91,Przewalski,PRJEB10098
Prze_0154A_KB7848,18.04,Przewalski,PRJEB10098
Prze_0155A_KB7903,22.84,Przewalski-hybrid,PRJEB10098
Prze_0156A_SB281,23.36,Przewalski,PRJEB10098
Prze_0157A_SB293,19.3,Przewalski,PRJEB10098
Prze_0158A_SB339,22.97,Przewalski,PRJEB10098
Prze_0159A_SB4329,20.51,Przewalski,PRJEB10098
Prze_0160A_SB533,20.36,Przewalski,PRJEB10098
Prze_0161A_SB615,19.56,Przewalski,PRJEB10098
Prze_0162A_SB966,20.06,Przewalski,PRJEB10098
Yaku_0163A_Yak1,10.52,Yakutian,PRJEB10854
Yaku_0164A_Yak2,18.38,Yakutian,PRJEB10854
Yaku_0165A_Yak3,10.65,Yakutian,PRJEB10854
Yaku_0166A_Yak4,9.07,Yakutian,PRJEB10854
Yaku_0167A_Yak5,10.52,Yakutian,PRJEB10854
Yaku_0168A_Yak6,11.64,Yakutian,PRJEB10854
Yaku_0169A_Yak7,21.63,Yakutian,PRJEB10854
Yaku_0170A_Yak8,9.48,Yakutian,PRJEB10854
Yaku_0171A_Yak9,9.85,Yakutian,PRJEB10854
Mixd_0314A_UKH4,16.79,UK Warmblood (>50% Quarter),PRJEB12979
Pain_0318A_UKH11,6.42,American Paint,PRJEB12979
Pain_0319A_UKH16,18.62,American Paint,PRJEB12979
