ascension_biosample,breed
ERR1527947,Akhal-Teke
ERR1527948,Akhal-Teke
ERR1527949,Akhal-Teke
ERR1527950,Akhal-Teke
ERR953404,American Miniature Horse
ERR1305962,American Paint
ERR1305963,American Paint
ERR1305964,American Paint
ERR2731055,American Paint
ERR1527951,Arabian
ERR2179544,Arabian
ERR2179551,Arabian
SRR1046129,Arabian
SRR1769892,Connemara Pony
SRR1769893,Connemara Pony
SRR1769922,Connemara Pony
SRR1790681,Connemara Pony
SRR1048526,Dulmen pony
ERR1527967,Dutch Warmblood
ERR1527952,Franches-Montagnes
ERR1527953,Franches-Montagnes
ERR1527954,Franches-Montagnes
ERR1527955,Franches-Montagnes
ERR1527956,Franches-Montagnes
ERR1527957,Franches-Montagnes
ERR1527958,Franches-Montagnes
ERR1527959,Franches-Montagnes
ERR1527960,Franches-Montagnes
ERR1527961,Franches-Montagnes
ERR1527962,Franches-Montagnes
ERR1527963,Franches-Montagnes
ERR1527964,Franches-Montagnes
ERR1527965,Franches-Montagnes
ERR1527971,Franches-Montagnes
ERR2179540,Franches-Montagnes
ERR2179541,Franches-Montagnes
SAMEA3498888,Franches-Montagnes
SAMEA3498889,Franches-Montagnes
SAMEA3498892,Franches-Montagnes
SAMEA3498893,Franches-Montagnes
SAMEA3498894,Franches-Montagnes
SAMEA3498895,Franches-Montagnes
SAMEA3498897,Franches-Montagnes
SAMEA3498898,Franches-Montagnes
SAMEA3498899,Franches-Montagnes
ERR1397961,Friesian dwarf
ERR1397962,Friesian dwarf
ERR1397963,Friesian dwarf
ERR2179542,German Riding Pony
ERR2179545,German Riding Pony
ERR3317814,German Riding Pony
ERR1545178,German WarmBlood
ERR1545179,German WarmBlood
ERR1545180,German WarmBlood
ERR1545181,German WarmBlood
ERR1545182,German WarmBlood
ERR1545183,German WarmBlood
ERR1545185,German WarmBlood
ERR1545186,German WarmBlood
ERR1545187,German WarmBlood
ERR1545188,German WarmBlood
ERR1545189,German WarmBlood
ERR1545190,German WarmBlood
ERR1527966,Haflinger
ERR2179553,Haflinger
ERR2179554,Haflinger
ERR2179555,Haflinger
SRR1046147,Hanoverian
SRR1046151,Hanoverian
SRR2142163,Hanoverian
SRR2142269,Hanoverian
ERR2179547,Holsteiner
ERR2731058,Holsteiner
ERR2731059,Holsteiner
ERR2731060,Holsteiner
ERR2731061,Holsteiner
ERR2731057,Icelandic
SAMN01057170,Jeju horse
SAMN01057171,Jeju horse
SAMN01057173,Jeju horse
SRR515217,Jeju horse
SRR515218,Jeju horse
SRR516118,Jeju horse
SRR5131680,Lipizzan
SRR5131681,Lipizzan
SRR5131682,Lipizzan
SRR5131683,Lipizzan
ERR982794,Mangalarga Marchador
SRR1275408,Marwari
ERR982786,Mongolian
SAMEA3498582,Mongolian
SAMN02570035,Mongolian
SAMN02570036,Mongolian
SAMN03009553,Mongolian
SAMN03009554,Mongolian
ERR2179546,Morgan Horse
ERR2179552,Noriker
ERR2179548,Oldenburger
ERR953411,Percheron horse
SAMEA3498585,Przewalski
SAMEA3498586,Przewalski
SAMEA3498589,Przewalski
SAMEA3498590,Przewalski
SAMN03009555,Przewalski
SAMN03009556,Przewalski
SAMEA3498584,Przewalski-hybrid
ERR1527968,Quarter Horse
ERR1527969,Quarter Horse
ERR1527970,Quarter Horse
SRR2142311,Saxon-Thuringian Heavy Warmblood
ERR2731056,Shetland
ERR868003,Shetland
ERR868004,Shetland
SRR1046135,Sorraia
SRR2142313,Sorraia
ERR1512897,Standardbred
SRR3045342,Standardbred
SRR3045676,Standardbred
SRR3045847,Standardbred
SRR3045848,Standardbred
SRR3046827,Standardbred
SRR3046831,Standardbred
SRR3046832,Standardbred
SRR3046834,Standardbred
SRR3050542,Standardbred
SRR3050543,Standardbred
SRR3050544,Standardbred
SRR3050545,Standardbred
SRR3050546,Standardbred
SRR3050547,Standardbred
SRR3050548,Standardbred
SRR3050549,Standardbred
SRR3050550,Standardbred
ERR1527972,Swiss Warmblood
ERR2179556,Swiss Warmblood
ERR953413,Tennessee Walking Horse
ERR1735862,Thoroughbred
SRR505867,Thoroughbred
SRR515202,Thoroughbred
SRR515203,Thoroughbred
SRR515204,Thoroughbred
SRR515205,Thoroughbred
SRR515206,Thoroughbred
SRR515208,Thoroughbred
SRR515209,Thoroughbred
SRR515211,Thoroughbred
SRR515212,Thoroughbred
SRR515213,Thoroughbred
SRR515214,Thoroughbred
SRR515215,Thoroughbred
SRR641364,Thoroughbred
SRR641365,Thoroughbred
SRR641366,Thoroughbred
SRR641367,Thoroughbred
ERR2203766,Trakehner
ERR1305961,UK Warmblood (>50% Quarter)
ERR2179543,Welsh Pony
SAMEA3542237,Yakutian horse
SAMEA3542238,Yakutian horse
SAMEA3542239,Yakutian horse
SAMEA3542240,Yakutian horse
SAMEA3542241,Yakutian horse
SAMEA3542242,Yakutian horse
SAMEA3542243,Yakutian horse
SAMEA3542244,Yakutian horse
SAMEA3542245,Yakutian horse
