"","QTL_ID","Symbol","Chromosome","Center_cM","Range_cM","Cood_A_bp","Coord_B_bp","Trait_Name","Significance","FlankMrkA2","FlankMrkA1","FlankMrkB1","FlankMrkB2"
"1",27140,"OSTD","1",156.5,"",0,100,"Osteochondrosis dissecans","Significant","","","",""
"2",27141,"OSTD","1",156.5,"",0,100,"Osteochondrosis dissecans","Significant","","","",""
"8",27147,"OSTEO","1",156.5,"",0,100,"Osteochondrosis","Significant","","","",""
"9",27148,"OSTEO","1",156.5,"",0,100,"Osteochondrosis","Significant","","","",""
"10",27149,"OSTEO","1",193.5,"",0,100,"Osteochondrosis","Significant","","","",""
"17",27156,"OSTEO","1",240.5,"",0,100,"Osteochondrosis","Significant","","","",""
"18",27157,"OSTEO","1",115.5,"",0,100,"Osteochondrosis","Significant","","","",""
"19",27158,"OSTEO","1",276.4,"",0,100,"Osteochondrosis","Significant","","","",""
"20",27159,"OSTEO","1",274.3,"",0,100,"Osteochondrosis","Significant","","","",""
"21",27160,"OSTEO","1",122.9,"",0,100,"Osteochondrosis","Significant","","","",""
"22",27161,"OSTEO","1",134.6,"",0,100,"Osteochondrosis","Significant","","","",""
"23",27162,"OSTEO","1",134.6,"",0,100,"Osteochondrosis","Significant","","","",""
"24",27163,"OSTEO","1",306.4,"",0,100,"Osteochondrosis","Significant","","","",""
"25",27164,"OSTEO","1",293.8,"",0,100,"Osteochondrosis","Significant","","","",""
"26",27165,"OSTEO","1",315.2,"",0,100,"Osteochondrosis","Significant","","","",""
"148",28297,"CHRLYMP","1",274.3,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"149",28298,"CHRLYMP","1",276.4,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"159",28308,"CHRLYMP","1",118.1,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"160",28309,"CHRLYMP","1",42.2,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"161",28310,"CHRLYMP","1",35.6,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"162",28311,"CHRLYMP","1",63.7,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"163",28312,"CHRLYMP","1",96.3,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"164",28313,"CHRLYMP","1",263.1,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"165",28314,"CHRLYMP","1",240.5,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"166",28315,"CHRLYMP","1",115.5,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"167",28316,"CHRLYMP","1",274.3,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"168",28317,"CHRLYMP","1",276.4,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"169",28318,"CHRLYMP","1",122.9,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"170",28319,"CHRLYMP","1",125.2,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"171",28320,"CHRLYMP","1",293.8,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"172",28321,"CHRLYMP","1",134.6,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"173",28322,"CHRLYMP","1",134.6,"",0,100,"chronic progressive lymphedema","Significant","","","",""
"224",28792,"ERU","1",115.4,"",0,100,"Recurrent uveitis","Significant","","","",""
"564",29256,"RHOD","1",471.87,"471.87-471.87",35593038,35593078,"Rhodococcus equi infection","Significant","","","",""
"633",29367,"OSTEO","1",855.72,"855.72-855.72",160479697,160479737,"Osteochondrosis","Significant","","","",""
"634",29368,"OSTEO","1",855.72,"855.72-855.72",160479697,160479737,"Osteochondrosis","Significant","","","",""
"691",29505,"BFSUS","1",75.54,"75.54-75.54",14167259,14167299,"Bone fracture","Significant","","","",""
"695",29509,"BFSUS","1",267.01,"267.01-267.01",50074720,50074760,"Bone fracture","Significant","","","",""
"696",29510,"BFSUS","1",943.64,"943.64-943.64",176967384,176967424,"Bone fracture","Significant","","","",""
"776",37878,"SUSBITE","1",618.66,"618.66-618.66",116022301,116022341,"Insect bite hypersensitivity","Significant","","","",""
"777",37879,"SUSBITE","1",618.74,"618.74-618.74",116037175,116037215,"Insect bite hypersensitivity","Significant","","","",""
"778",37880,"SUSBITE","1",912.31,"912.31-912.31",171091092,171091132,"Insect bite hypersensitivity","Significant","","","",""
"830",70916,"OSTEO","1",630.75,"630.75-630.75",118288461,118288501,"Osteochondrosis","Significant","","","",""
"898",138687,"SPD","1",137.12,"137.12-137.12",25715314,25715354,"Racing speed","Significant",NA,"","",NA
"963",160824,"DWARF","1",NA,"",94215010,94215050,"Dwarfism","Significant","","","",""
"964",160825,"DWARF","1",NA,"",94138617,94215030,"Dwarfism","Significant","","rs68487996","rs68444275",""
"965",160826,"DWARF","1",NA,"",94138617,94215030,"Dwarfism","Significant","","","",""
"966",160827,"DWARF","1",NA,"",94138617,94215030,"Dwarfism","Significant","","","",""
"967",160828,"DWARF","1",NA,"",94138617,94215030,"Dwarfism","Significant","","","",""
"1034",165332,"RACPERM","1",NA,"",94138617,94215030,"racing performance","Significant",NA,"","",NA
"1036",165335,"RACPERM","1",NA,"",94138617,94215030,"racing performance","Significant",NA,"","",NA
"1040",165343,"RACPERM","1",NA,"",94138617,94215030,"racing performance","Significant",NA,"","",NA
"1052",165768,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1057",165773,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1107",165823,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1126",165842,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1137",165854,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1138",165855,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1150",165867,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1151",165868,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1164",165881,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1177",165894,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1191",165908,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1200",165917,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1209",165926,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1217",165934,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1224",165941,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1232",165949,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1249",165967,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1251",165969,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1269",165987,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1274",165992,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1285",166003,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1286",166004,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1292",166010,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1307",166025,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1316",166034,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1317",166035,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1341",166059,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1343",166061,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1363",166082,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1380",166099,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1403",166122,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1464",166183,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1476",166195,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1478",166197,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1485",166204,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1504",166223,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1507",166226,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1518",166237,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1537",166256,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1551",166270,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
"1567",166349,"WITHIH","1",NA,"",94138617,94215030,"Withers height","Significant",NA,"","",NA
