QTL_ID	Symbol	Chromosome	Center_cM	Range_cM	Cood_A_bp	Coord_B_bp	Trait_Name	Significance	FlankMrkA2	FlankMrkA1	FlankMrkB1	FlankMrkB2
29323	SUSBITE	X	93.75	93.01-94.49	59053351	59993833	Insect bite hypersensitivity	Significant		rs69521093	rs69526369	
29324	SUSBITE	X	95.29	94.52-96.06	60009473	60987311	Insect bite hypersensitivity	Suggestive	rs69526373			rs69562802
29385	OSTEO	X	95.29	94.52-96.06	60009473	60987311	Osteochondrosis	Significant				
37901	SUSBITE	X	36.49	36.49-36.49	23168664	23168704	Insect bite hypersensitivity	Significant				
56195	SUSBITE	X	115.80	115.12-116.48	73091622	73949513	Insect bite hypersensitivity	Significant		rs69471373	rs69479430	
166789	SUSLAR	X	91.07	91.07-91.07	57820231	57820271	Recurrent laryngeal neuropathy	Significant				
178632	SUSBITE	X	120.50	119.74-121.26	76024500	76988439	Insect bite hypersensitivity	Suggestive	rs69473937			rs69489516
178631	SUSBITE	X	7.04	6.33-7.75	4018390	4923258	Insect bite hypersensitivity	Suggestive	rs69486527			rs69487943
178634	SUSBITE	X	129.95	129.18-130.71	82014630	82987969	Insect bite hypersensitivity	Significant		rs69507256	rs69512897	
178633	SUSBITE	X	128.66	128.20-129.12	81391335	81974630	Insect bite hypersensitivity	Suggestive	rs69545917			rs69507224
27140	OSTD	1	156.5		0	100	Osteochondrosis dissecans	Significant				
27141	OSTD	1	156.5		0	100	Osteochondrosis dissecans	Significant				
27147	OSTEO	1	156.5		0	100	Osteochondrosis	Significant				
27148	OSTEO	1	156.5		0	100	Osteochondrosis	Significant				
27149	OSTEO	1	193.5		0	100	Osteochondrosis	Significant				
27156	OSTEO	1	240.5		0	100	Osteochondrosis	Significant				
27157	OSTEO	1	115.5		0	100	Osteochondrosis	Significant				
27158	OSTEO	1	276.4		0	100	Osteochondrosis	Significant				
27159	OSTEO	1	274.3		0	100	Osteochondrosis	Significant				
27160	OSTEO	1	122.9		0	100	Osteochondrosis	Significant				
27161	OSTEO	1	134.6		0	100	Osteochondrosis	Significant				
27162	OSTEO	1	134.6		0	100	Osteochondrosis	Significant				
27163	OSTEO	1	306.4		0	100	Osteochondrosis	Significant				
27164	OSTEO	1	293.8		0	100	Osteochondrosis	Significant				
27165	OSTEO	1	315.2		0	100	Osteochondrosis	Significant				
28297	CHRLYMP	1	274.3		0	100	chronic progressive lymphedema	Significant				
28298	CHRLYMP	1	276.4		0	100	chronic progressive lymphedema	Significant				
28308	CHRLYMP	1	118.1		0	100	chronic progressive lymphedema	Significant				
28309	CHRLYMP	1	42.2		0	100	chronic progressive lymphedema	Significant				
28310	CHRLYMP	1	35.6		0	100	chronic progressive lymphedema	Significant				
28311	CHRLYMP	1	63.7		0	100	chronic progressive lymphedema	Significant				
28312	CHRLYMP	1	96.3		0	100	chronic progressive lymphedema	Significant				
28313	CHRLYMP	1	263.1		0	100	chronic progressive lymphedema	Significant				
28314	CHRLYMP	1	240.5		0	100	chronic progressive lymphedema	Significant				
28315	CHRLYMP	1	115.5		0	100	chronic progressive lymphedema	Significant				
28316	CHRLYMP	1	274.3		0	100	chronic progressive lymphedema	Significant				
28317	CHRLYMP	1	276.4		0	100	chronic progressive lymphedema	Significant				
28318	CHRLYMP	1	122.9		0	100	chronic progressive lymphedema	Significant				
28319	CHRLYMP	1	125.2		0	100	chronic progressive lymphedema	Significant				
28320	CHRLYMP	1	293.8		0	100	chronic progressive lymphedema	Significant				
28321	CHRLYMP	1	134.6		0	100	chronic progressive lymphedema	Significant				
28322	CHRLYMP	1	134.6		0	100	chronic progressive lymphedema	Significant				
28792	ERU	1	115.4		0	100	Recurrent uveitis	Significant				
29256	RHOD	1	471.87	471.87-471.87	35593038	35593078	Rhodococcus equi infection	Significant				
29303	SUSBITE	1	40.05	37.57-42.54	7044939	7977385	Insect bite hypersensitivity	Suggestive	rs68541770			rs68546437
29367	OSTEO	1	855.72	855.72-855.72	160479697	160479737	Osteochondrosis	Significant				
29368	OSTEO	1	855.72	855.72-855.72	160479697	160479737	Osteochondrosis	Significant				
29510	BFSUS	1	943.64	943.64-943.64	176967384	176967424	Bone fracture	Significant				
29509	BFSUS	1	267.01	267.01-267.01	50074720	50074760	Bone fracture	Significant				
29505	BFSUS	1	75.54	75.54-75.54	14167259	14167299	Bone fracture	Significant				
37878	SUSBITE	1	618.66	618.66-618.66	116022301	116022341	Insect bite hypersensitivity	Significant				
37879	SUSBITE	1	618.74	618.74-618.74	116037175	116037215	Insect bite hypersensitivity	Significant				
37880	SUSBITE	1	912.31	912.31-912.31	171091092	171091132	Insect bite hypersensitivity	Significant				
56196	OSTD	1	683.86	683.86-683.86	128248792	128248832	Osteochondrosis dissecans	-				
56197	OSTD	1	765.84	765.84-765.84	143624226	143624266	Osteochondrosis dissecans	-				
70916	OSTEO	1	630.75	630.75-630.75	118288461	118288501	Osteochondrosis	Significant				
160824	DWARF	1			94215010	94215050	Dwarfism	Significant				
160825	DWARF	1			94138617	94215030	Dwarfism	Significant		rs68487996	rs68444275	
160826	DWARF	1			94138617	94215030	Dwarfism	Significant				
160827	DWARF	1			94138617	94215030	Dwarfism	Significant				
160828	DWARF	1			94138617	94215030	Dwarfism	Significant				
181831	ERU	1			158120530	158120570	Recurrent uveitis	Significant				
181830	ERU	1			158120037	158120077	Recurrent uveitis	Significant				
178607	SUSBITE	1			153033730	153971271	Insect bite hypersensitivity	Significant		rs68495816	rs68503304	
178605	SUSBITE	1	40.05	37.57-42.54	7044939	7977385	Insect bite hypersensitivity	Suggestive	rs68541770			rs68546437
178636	SUSBITE	1	40.05	37.57-42.54	7044939	7977385	Insect bite hypersensitivity	Significant				
178635	SUSBITE	1	40.05	37.57-42.54	7044939	7977385	Insect bite hypersensitivity	Significant				
178606	SUSBITE	1			152048245	152995346	Insect bite hypersensitivity	Suggestive	rs68491748			rs68494590
179365	SUSBITE	1			152048245	152995346	Insect bite hypersensitivity	Significant				
179370	SUSBITE	1			152048245	152995346	Insect bite hypersensitivity	Significant				
179371	SUSBITE	1			152048245	152995346	Insect bite hypersensitivity	Significant				
179374	SUSBITE	1			152048245	152995346	Insect bite hypersensitivity	Significant				
179375	SUSBITE	1			152048245	152995346	Insect bite hypersensitivity	Significant				
179382	SUSBITE	1			152048245	152995346	Insect bite hypersensitivity	Significant				
179383	SUSBITE	1			152048245	152995346	Insect bite hypersensitivity	Significant				
179389	SUSBITE	1			152048245	152995346	Insect bite hypersensitivity	Significant				
179390	SUSBITE	1			152048245	152995346	Insect bite hypersensitivity	Significant				
181832	ERU	1			152048245	152995346	Recurrent uveitis	Significant				
181837	ERU	1			152048245	152995346	Recurrent uveitis	Significant				
181838	ERU	1			152048245	152995346	Recurrent uveitis	Significant				
181839	ERU	1			152048245	152995346	Recurrent uveitis	Significant				
181840	ERU	1			152048245	152995346	Recurrent uveitis	Significant				
181843	ERU	1			152048245	152995346	Recurrent uveitis	Significant				
27179	OSTEO	2	26.9		0	100	Osteochondrosis	Significant				
27180	OSTEO	2	26.9		0	100	Osteochondrosis	Significant				
27181	OSTEO	2	26.9		0	100	Osteochondrosis	Significant				
27182	OSTEO	2	41.7		0	100	Osteochondrosis	Significant				
27183	OSTD	2	41.7		0	100	Osteochondrosis dissecans	Significant				
27194	OSTEO	2	26.9		0	100	Osteochondrosis	Significant				
27195	OSTD	2	26.9		0	100	Osteochondrosis dissecans	Significant				
27196	OSTEO	2	31.4		0	100	Osteochondrosis	Significant				
27197	OSTD	2	31.4		0	100	Osteochondrosis dissecans	Significant				
27198	OSTEO	2	41.7		0	100	Osteochondrosis	Significant				
27199	OSTD	2	41.7		0	100	Osteochondrosis dissecans	Significant				
27200	OSTEO	2	43.4		0	100	Osteochondrosis	Significant				
27201	OSTD	2	43.4		0	100	Osteochondrosis dissecans	Significant				
27202	OSTEO	2	69.8		0	100	Osteochondrosis	Significant				
27212	OSTEO	2	41.7		0	100	Osteochondrosis	Significant				
27213	OSTEO	2	69.8		0	100	Osteochondrosis	Significant				
28251	GPT	2	32.6		0	100	Guttural pouch tympany	Significant				
28252	GPT	2	32.8		0	100	Guttural pouch tympany	Significant				
28253	GPT	2	43.4		0	100	Guttural pouch tympany	Significant				
28254	GPT	2	33.7		0	100	Guttural pouch tympany	Significant				
28255	GPT	2	43.4		0	100	Guttural pouch tympany	Significant				
28262	GPT	2	28.6		0	100	Guttural pouch tympany	Significant				
28263	GPT	2	41.7		0	100	Guttural pouch tympany	Significant				
28264	GPT	2	31.1		0	100	Guttural pouch tympany	Significant				
28265	GPT	2	56.3		0	100	Guttural pouch tympany	Significant				
28266	GPT	2	32.6		0	100	Guttural pouch tympany	Significant				
28267	GPT	2	32.8		0	100	Guttural pouch tympany	Significant				
28268	GPT	2	43.4		0	100	Guttural pouch tympany	Significant				
28269	GPT	2	33.7		0	100	Guttural pouch tympany	Significant				
28270	GPT	2	43.4		0	100	Guttural pouch tympany	Significant				
29249	RHOD	2	434.84	434.84-434.84	80197339	80197379	Rhodococcus equi infection	Significant				
29369	OSTEO	2	251.68	251.68-251.68	51217553	51217593	Osteochondrosis	Significant				
29370	OSTEO	2	251.68	251.68-251.68	51218388	51218428	Osteochondrosis	Significant				
32142	OSTEO	2	84.28	21.75 - 32.61	0	100	Osteochondrosis	Significant				
32143	OSTD	2	94.30	28.56 - 31.14	0	100	Osteochondrosis dissecans	Significant				
32144	OSTEO	2	81.59	17.32 - 32.61	0	100	Osteochondrosis	Significant				
32145	OSTD	2	87.29	22.82 - 33.58	0	100	Osteochondrosis dissecans	Significant				
32146	OSTEO	2	25.47	21.75 - 32.61	0	100	Osteochondrosis	Significant				
32147	OSTEO	2	102.95	28.56 - 34.72	0	100	Osteochondrosis	Significant				
