QTL_ID	Symbol	Chromosome	Center_cM	Range_cM	Cood_A_bp	Coord_B_bp	Trait_Name	Significance	FlankMrkA2	FlankMrkA1	FlankMrkB1	FlankMrkB2
29486	MFERT	4	433.21	433.21-433.21	77988651	77988691	male fertility	Significant				
29485	MFERT	4	420.15	420.15-420.15	75637715	75637755	male fertility	Significant				
29484	MFERT	4	430.39	430.39-430.39	77481590	77481630	male fertility	Significant				
29483	MFERT	4	428.19	428.19-428.19	77084790	77084830	male fertility	Significant				
29482	MFERT	4	427.56	427.56-427.56	76971414	76971454	male fertility	Significant				
29481	MFERT	4	426.10	426.10-426.10	76708978	76709018	male fertility	Significant				
29480	MFERT	4	434.60	434.60-434.60	78238772	78238812	male fertility	Significant				
29479	MFERT	4	419.80	419.80-419.80	75575104	75575144	male fertility	Significant				
29478	MFERT	4	433.03	433.03-433.03	77957077	77957117	male fertility	Significant				
29471	MFERT	4	427.78	427.78-427.78	77011778	77011818	male fertility	Significant				
29470	MFERT	4	435.57	435.57-435.57	78412684	78412724	male fertility	Significant				
29494	MFERT	5	23.68	23.68-23.68	2449180	2449220	male fertility	Significant				
29493	MFERT	5	23.63	23.63-23.64	2444271	2444311	male fertility	Significant				
32174	MFERT	6	775.09	775.09-775.09	45586801	45586841	male fertility	Significant				
32175	MFERT	6	59.93	126.80-126.80	0	100	male fertility	Significant				
32176	MFERT	6	59.94	126.80-126.80	0	100	male fertility	Significant				
32177	MFERT	6	59.92				male fertility	Significant				
32178	MFERT	6	59.92	126.80-126.80	0	100	male fertility	Significant				
32179	MFERT	6	59.91	126.80-126.80	0	100	male fertility	Significant				
32180	MFERT	6	59.94	126.80-126.80	0	100	male fertility	Significant				
32181	MFERT	6	59.93	126.80-126.80	0	100	male fertility	Significant				
32182	MFERT	6	59.92	126.80-126.80	0	100	male fertility	Significant				
32183	MFERT	6	59.92	126.80-126.80	0	100	male fertility	Significant				
32184	MFERT	6	59.91	126.80-126.80	0	100	male fertility	Significant				
32185	MFERT	6	59.92	126.80-126.80	0	100	male fertility	Significant				
32186	MFERT	6	59.95	126.80-126.80	0	100	male fertility	Significant				
29492	MFERT	7	178.56	178.56-178.56	76899312	76899352	male fertility	Significant				
29499	MFERT	8	289.80	289.80-289.80	24528836	24528876	male fertility	Significant				
29498	MFERT	8	288.41	288.41-288.41	24411668	24411708	male fertility	Significant				
29497	MFERT	8	874.21	874.21-874.21	73994113	73994153	male fertility	Significant				
29501	MFERT	13	24.9	108.90-108.90	0	100	male fertility	Significant				
29491	MFERT	13	229.14	229.14-229.14	14182648	14182688	male fertility	Significant				
29490	MFERT	13	148.38	148.38-148.38	9183969	9184009	male fertility	Significant				
29489	MFERT	13	178.43	178.43-178.43	11043896	11043936	male fertility	Significant				
29488	MFERT	13	145.21	145.21-145.21	8987902	8987942	male fertility	Significant				
29487	MFERT	13	176.01	176.01-176.01	10894193	10894233	male fertility	Significant				
29477	MFERT	13	135.44	135.44-135.44	8382935	8382975	male fertility	Significant				
29476	MFERT	13	129.69	129.69-129.69	8027152	8027192	male fertility	Significant				
29475	MFERT	13	145.05	145.05-145.05	8977784	8977824	male fertility	Significant				
29473	MFERT	13	145.96	145.96-145.97	9034482	9034522	male fertility	Significant				
29472	MFERT	13	145.96	145.96-145.96	9034415	9034455	male fertility	Significant				
29466	MFERT	13	311.14	311.14-311.14	19258258	19258298	male fertility	Significant				
29465	MFERT	13	178.43	178.43-178.43	11044155	11044195	male fertility	Significant				
65935	MFERT	13	178.37	178.37-178.37	11040359	11040399	male fertility	Significant				
65936	MFERT	13	178.48	178.48-178.48	11047108	11047148	male fertility	Suggestive				
29500	MFERT	15		2644.72-2644.72	56115705	56115745	male fertility	Significant				
29496	MFERT	18	115.99	115.86-116.12	62008083	62148769	male fertility	Significant				
29467	MFERT	18	115.99	115.86-116.12	62008083	62148769	male fertility	Significant				
29474	MFERT	22	16.76	16.76-16.76	8075438	8075478	male fertility	Significant				
29468	MFERT	22	17.48	17.48-17.48	8423715	8423755	male fertility	Significant				
29495	MFERT	23	62.44	62.44-62.44	45189420	45189460	male fertility	Significant				
96052	MFERT	25	49.64	49.64-49.64	37455282	37455322	male fertility	Significant				
