QTL_ID	Symbol	Chromosome	Center_cM	Range_cM	Cood_A_bp	Coord_B_bp	Trait_Name	Significance	FlankMrkA2	FlankMrkA1	FlankMrkB1	FlankMrkB2
172354	GAITED	1	96.47	96.47-96.47	18091557	18091597	Alternate gaits	Significant				
172362	GAITED	1			155226134	155226174	Alternate gaits	Significant				
172370	GAITED	1	294.66	294.66-294.66	55259268	55259308	Alternate gaits	Significant				
172375	GAITED	1	373.85	373.85-373.85	70111111	70111151	Alternate gaits	Significant				
172382	GAITED	1	233.83	233.83-233.83	43852352	43852392	Alternate gaits	Significant				
172387	GAITED	1			155323227	155323267	Alternate gaits	Significant				
172389	GAITED	1	203.96	203.96-203.96	38250727	38250767	Alternate gaits	Significant				
172393	GAITED	1	209.73	209.73-209.73	39331317	39331357	Alternate gaits	Significant				
172405	GAITED	1	96.47	96.47-96.47	18091689	18091729	Alternate gaits	Significant				
172407	GAITED	1	30.12	30.12-30.12	5649280	5649320	Alternate gaits	Significant				
172417	GAITED	1					Alternate gaits	Significant				
172418	GAITED	1	190.53	190.53-190.53	35731829	35731869	Alternate gaits	Significant				
172419	GAITED	1	190.53	190.53-190.53	35731263	35731303	Alternate gaits	Significant				
172420	GAITED	1	190.50	190.50-190.50	35726325	35726365	Alternate gaits	Significant				
172421	GAITED	1	190.47	190.47-190.47	35720230	35720270	Alternate gaits	Significant				
172426	GAITED	1	95.69	95.69-95.69	17945245	17945285	Alternate gaits	Significant				
172427	GAITED	1	190.48	190.48-190.48	35721306	35721346	Alternate gaits	Significant				
172435	GAITED	1					Alternate gaits	Significant				
172437	GAITED	1					Alternate gaits	Significant				
172443	GAITED	1					Alternate gaits	Significant				
172445	GAITED	1	205.79	205.79-205.79	38592522	38592562	Alternate gaits	Significant				
172448	GAITED	1	204.26	204.26-204.26	38306796	38306836	Alternate gaits	Significant				
172450	GAITED	1					Alternate gaits	Significant				
172452	GAITED	1					Alternate gaits	Significant				
172455	GAITED	1					Alternate gaits	Significant				
172474	GAITED	1					Alternate gaits	Significant				
172475	GAITED	1	96.33	96.33-96.33	18065578	18065618	Alternate gaits	Significant				
172477	GAITED	1	206.07	206.07-206.07	38646271	38646311	Alternate gaits	Significant				
172481	GAITED	1					Alternate gaits	Significant				
172497	GAITED	1					Alternate gaits	Significant				
172503	GAITED	1					Alternate gaits	Significant				
172510	GAITED	1					Alternate gaits	Significant				
172515	GAITED	1					Alternate gaits	Significant				
172527	GAITED	1	211.10	211.10-211.10	39589042	39589082	Alternate gaits	Significant				
172559	GAITED	1					Alternate gaits	Significant				
172566	GAITED	1					Alternate gaits	Significant				
172571	GAITED	1	28.38	28.38-28.38	5322222	5322262	Alternate gaits	Significant				
172371	GAITED	2	97.08	97.08-97.08	19755715	19755755	Alternate gaits	Significant				
172383	GAITED	2	86.15	86.15-86.15	17532799	17532839	Alternate gaits	Significant				
172385	GAITED	2	8.22	8.22-8.22	1673059	1673099	Alternate gaits	Significant				
172386	GAITED	2	8.23	8.23-8.23	1674593	1674633	Alternate gaits	Significant				
172390	GAITED	2	9.43	9.43-9.43	1919006	1919046	Alternate gaits	Significant				
172397	GAITED	2	10.57	10.57-10.57	2150529	2150569	Alternate gaits	Significant				
172401	GAITED	2	7.58	7.58-7.58	1543236	1543276	Alternate gaits	Significant				
172504	GAITED	2					Alternate gaits	Significant				
172505	GAITED	2					Alternate gaits	Significant				
172525	GAITED	2					Alternate gaits	Significant				
