Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Horse ID,Average depth-of-coverage,Breed_Info,1,2,ID_approx
SRR516118,WGS,198,55948761990,PRJNA169102,SAMN01057172,36982907747,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX156082,Illumina HiSeq 2000,P06074M1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,P06074M1,SRP013860,Jeju_0275A_SAMN01057172,19.38,Jeju horse,Jeju,0275A,SAMN01057172
SRR527799,WGS,198,1711654758,PRJNA169102,SAMN01057173,1149841535,SEOUL NATIONAL UNIVERSITY,public,sra,"ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX156083,Illumina HiSeq 2000,P06115M1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,P06115M1,SRP013860,Jeju_0276A_SAMN01057173,17.69,Jeju horse,Jeju,0276A,SAMN01057173
SRR527800,WGS,198,4979487546,PRJNA169102,SAMN01057173,3299779344,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX156083,Illumina HiSeq 2000,P06115M1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,P06115M1,SRP013860,Jeju_0276A_SAMN01057173,17.69,Jeju horse,Jeju,0276A,SAMN01057173
SRR527801,WGS,198,4075917318,PRJNA169102,SAMN01057173,2740150539,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX156083,Illumina HiSeq 2000,P06115M1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,P06115M1,SRP013860,Jeju_0276A_SAMN01057173,17.69,Jeju horse,Jeju,0276A,SAMN01057173
SRR527802,WGS,197,12638883232,PRJNA169102,SAMN01057173,8520627569,SEOUL NATIONAL UNIVERSITY,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX156083,Illumina HiSeq 2000,P06115M1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,P06115M1,SRP013860,Jeju_0276A_SAMN01057173,17.69,Jeju horse,Jeju,0276A,SAMN01057173
SRR527803,WGS,198,4518519390,PRJNA169102,SAMN01057171,2944648539,SEOUL NATIONAL UNIVERSITY,public,sra,"s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX156081,Illumina HiSeq 2000,P00033F1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,P00033F1,SRP013860,Jeju_0274A_SAMN01057171,18.92,Jeju horse,Jeju,0274A,SAMN01057171
SRR527804,WGS,198,6071243706,PRJNA169102,SAMN01057171,3950748032,SEOUL NATIONAL UNIVERSITY,public,sra,"s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX156081,Illumina HiSeq 2000,P00033F1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,P00033F1,SRP013860,Jeju_0274A_SAMN01057171,18.92,Jeju horse,Jeju,0274A,SAMN01057171
SRR527805,WGS,198,3719401686,PRJNA169102,SAMN01057171,2442968767,SEOUL NATIONAL UNIVERSITY,public,sra,"ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX156081,Illumina HiSeq 2000,P00033F1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,P00033F1,SRP013860,Jeju_0274A_SAMN01057171,18.92,Jeju horse,Jeju,0274A,SAMN01057171
SRR527806,WGS,198,8350403490,PRJNA169102,SAMN01057171,5469828018,SEOUL NATIONAL UNIVERSITY,public,sra,"ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX156081,Illumina HiSeq 2000,P00033F1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,P00033F1,SRP013860,Jeju_0274A_SAMN01057171,18.92,Jeju horse,Jeju,0274A,SAMN01057171
SRR527807,WGS,198,6784873722,PRJNA169102,SAMN01057171,5127625094,SEOUL NATIONAL UNIVERSITY,public,sra,"s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX156081,Illumina HiSeq 2000,P00033F1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,P00033F1,SRP013860,Jeju_0274A_SAMN01057171,18.92,Jeju horse,Jeju,0274A,SAMN01057171
SRR527809,WGS,197,25129092013,PRJNA169102,SAMN01057171,16766367073,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX156081,Illumina HiSeq 2000,P00033F1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,P00033F1,SRP013860,Jeju_0274A_SAMN01057171,18.92,Jeju horse,Jeju,0274A,SAMN01057171
SRR527825,WGS,197,4981632877,PRJNA169102,SAMN01057173,3274903993,SEOUL NATIONAL UNIVERSITY,public,sra,"s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX156083,Illumina HiSeq 2000,P06115M1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,P06115M1,SRP013860,Jeju_0276A_SAMN01057173,17.69,Jeju horse,Jeju,0276A,SAMN01057173
SRR526907,WGS,198,5007239622,PRJNA169102,SAMN01057170,3310371910,SEOUL NATIONAL UNIVERSITY,public,sra,"s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX155594,Illumina HiSeq 2000,TG1117D1053,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,TG1117D1053,SRP013860,Jeju_0273A_SAMN01057170,5.58,Jeju horse,Jeju,0273A,SAMN01057170
SRR526908,WGS,198,4042543824,PRJNA169102,SAMN01057170,2709619178,SEOUL NATIONAL UNIVERSITY,public,sra,"s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX155594,Illumina HiSeq 2000,TG1117D1053,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,TG1117D1053,SRP013860,Jeju_0273A_SAMN01057170,5.58,Jeju horse,Jeju,0273A,SAMN01057170
SRR526909,WGS,198,4717164474,PRJNA169102,SAMN01057170,3154888555,SEOUL NATIONAL UNIVERSITY,public,sra,"ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX155594,Illumina HiSeq 2000,TG1117D1053,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,TG1117D1053,SRP013860,Jeju_0273A_SAMN01057170,5.58,Jeju horse,Jeju,0273A,SAMN01057170
SRR527519,WGS,198,5155644582,PRJNA169102,SAMN01057173,3370053142,SEOUL NATIONAL UNIVERSITY,public,sra,"ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX156083,Illumina HiSeq 2000,P06115M1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-07-02T00:00:00Z,P06115M1,SRP013860,Jeju_0276A_SAMN01057173,17.69,Jeju horse,Jeju,0276A,SAMN01057173
