QTL_ID	Symbol	Chromosome	Center_cM	Range_cM	Cood_A_bp	Coord_B_bp	Trait_Name	Significance	FlankMrkA2	FlankMrkA1	FlankMrkB1	FlankMrkB2
165761	WITHIH	X	82.27	82.27-82.27	52231840	52231880	Withers height	Significant				
165769	WITHIH	X	80.77	80.77-80.77	51278528	51278568	Withers height	Significant				
166186	WITHIH	X	82.27	82.27-82.27	52231840	52231880	Withers height	Significant				
165768	WITHIH	1			94138617	94215030	Withers height	Significant				
165773	WITHIH	1			94138617	94215030	Withers height	Significant				
165823	WITHIH	1			94138617	94215030	Withers height	Significant				
165842	WITHIH	1			94138617	94215030	Withers height	Significant				
165854	WITHIH	1			94138617	94215030	Withers height	Significant				
165855	WITHIH	1			94138617	94215030	Withers height	Significant				
165867	WITHIH	1			94138617	94215030	Withers height	Significant				
165868	WITHIH	1			94138617	94215030	Withers height	Significant				
165881	WITHIH	1			94138617	94215030	Withers height	Significant				
165894	WITHIH	1			94138617	94215030	Withers height	Significant				
165908	WITHIH	1			94138617	94215030	Withers height	Significant				
165917	WITHIH	1			94138617	94215030	Withers height	Significant				
165926	WITHIH	1			94138617	94215030	Withers height	Significant				
165934	WITHIH	1			94138617	94215030	Withers height	Significant				
165941	WITHIH	1			94138617	94215030	Withers height	Significant				
165949	WITHIH	1			94138617	94215030	Withers height	Significant				
165967	WITHIH	1			94138617	94215030	Withers height	Significant				
165969	WITHIH	1			94138617	94215030	Withers height	Significant				
165987	WITHIH	1			94138617	94215030	Withers height	Significant				
165992	WITHIH	1			94138617	94215030	Withers height	Significant				
166003	WITHIH	1			94138617	94215030	Withers height	Significant				
166004	WITHIH	1			94138617	94215030	Withers height	Significant				
166010	WITHIH	1			94138617	94215030	Withers height	Significant				
166025	WITHIH	1			94138617	94215030	Withers height	Significant				
166034	WITHIH	1			94138617	94215030	Withers height	Significant				
166035	WITHIH	1			94138617	94215030	Withers height	Significant				
166059	WITHIH	1			94138617	94215030	Withers height	Significant				
166061	WITHIH	1			94138617	94215030	Withers height	Significant				
166082	WITHIH	1			94138617	94215030	Withers height	Significant				
166099	WITHIH	1			94138617	94215030	Withers height	Significant				
166122	WITHIH	1			94138617	94215030	Withers height	Significant				
166183	WITHIH	1			94138617	94215030	Withers height	Significant				
166195	WITHIH	1			94138617	94215030	Withers height	Significant				
166197	WITHIH	1			94138617	94215030	Withers height	Significant				
166204	WITHIH	1			94138617	94215030	Withers height	Significant				
166223	WITHIH	1			94138617	94215030	Withers height	Significant				
166226	WITHIH	1			94138617	94215030	Withers height	Significant				
166237	WITHIH	1			94138617	94215030	Withers height	Significant				
166256	WITHIH	1			94138617	94215030	Withers height	Significant				
166270	WITHIH	1			94138617	94215030	Withers height	Significant				
166349	WITHIH	1			94138617	94215030	Withers height	Significant				
119859	BSIZE	2	546.54	546.54-546.54	111224458	111224498	Overall body size	Significant				
165797	WITHIH	2			112096188	112096228	Withers height	Significant				
165802	WITHIH	2			94555702	94555742	Withers height	Significant				
165814	WITHIH	2	87.31	87.31-87.31	17767330	17767370	Withers height	Significant				
165816	WITHIH	2	375.78	375.78-375.78	76473579	76473619	Withers height	Significant				
165848	WITHIH	2			105828304	105828344	Withers height	Significant				
165856	WITHIH	2	13.08	13.08-13.08	2661292	2661332	Withers height	Significant				
165898	WITHIH	2			99299095	99299135	Withers height	Significant				
165905	WITHIH	2			105828304	105828344	Withers height	Significant				
165940	WITHIH	2			94555702	94555742	Withers height	Significant				
165966	WITHIH	2			113200149	113200189	Withers height	Significant				
166060	WITHIH	2			90847090	90847130	Withers height	Significant				
166064	WITHIH	2			112096188	112096228	Withers height	Significant				
166065	WITHIH	2					Withers height	Significant				
166066	WITHIH	2	87.35	87.35-87.35	17777097	17777137	Withers height	Significant				
166070	WITHIH	2	266.27	266.27-266.27	54188188	54188228	Withers height	Significant				
166118	WITHIH	2	370.89	370.89-370.90	75479336	75479376	Withers height	Significant				
166134	WITHIH	2	17.64	17.64-17.64	3590415	3590455	Withers height	Significant				
166141	WITHIH	2	53.30	53.30-53.30	10846910	10846950	Withers height	Significant				
166172	WITHIH	2	370.89	370.89-370.89	75479314	75479354	Withers height	Significant				
166175	WITHIH	2	262.16	262.16-262.16	53350225	53350265	Withers height	Significant				
166191	WITHIH	2	18.62	18.62-18.62	3788467	3788507	Withers height	Significant				
166217	WITHIH	2			119101520	119101560	Withers height	Significant				
166222	WITHIH	2			109492779	109492819	Withers height	Significant				
166231	WITHIH	2	366.88	366.88-366.88	74661563	74661603	Withers height	Significant				
166235	WITHIH	2	13.08	13.08-13.08	2661292	2661332	Withers height	Significant				
166250	WITHIH	2	82.34	82.34-82.34	16757294	16757334	Withers height	Significant				
166261	WITHIH	2	110.51	110.51-110.51	22488661	22488701	Withers height	Significant				
29016	WITHIH	3	358.17	358.17-358.17	105546982	105547022	Withers height	Significant				
29017	WITHIH	3	358.17	358.17-358.17	105163057	105163097	Withers height	Significant				
29359	WITHIH	3	434.57	434.57-434.57	107369887	107369927	Withers height	Significant				
29360	WITHIH	3	428.53	428.53-428.53	105875789	105875829	Withers height	Significant				
29361	WITHIH	3	444.82	444.82-444.82	109902715	109902755	Withers height	Significant				
29362	WITHIH	3	448.81	448.81-448.81	110887462	110887502	Withers height	Significant				
29363	WITHIH	3	449.00	449.00-449.00	110933689	110933729	Withers height	Significant				
29364	WITHIH	3	444.85	444.85-444.85	109909913	109909953	Withers height	Significant				
29365	WITHIH	3	410.35	410.35-410.35	101385794	101385834	Withers height	Significant				
29366	WITHIH	3	411.10	411.10-411.10	101571461	101571501	Withers height	Significant				
29502	BSIZE	3	427.19	427.19-427.19	105546982	105547022	Overall body size	Significant				
56777	WITHIH	3	427.19	427.19-427.19	105546982	105547022	Withers height	Significant				
56778	BL	3	427.19	427.19-427.19	105546982	105547022	Body length	Significant				
56779	CHCIR	3	427.19	427.19-427.19	105546982	105547022	Chest circumference	Significant				
119853	BSIZE	3	428.04	428.04-428.04	105755366	105755466	Overall body size	Significant				
119854	BSIZE	3	426.45	426.45-426.45	105363221	105363261	Overall body size	Significant				
119855	BSIZE	3	428.81	428.81-428.81	105947223	105947263	Overall body size	Significant				
119861	BSIZE	3	427.42	427.42-427.42	105602410	105602510	Overall body size	Significant				
119862	BSIZE	3	427.81	427.81-427.81	105699440	105699540	Overall body size	Significant				
119863	BSIZE	3	427.82	427.82-427.82	105702431	105702531	Overall body size	Significant				
119864	BSIZE	3	428.12	428.12-428.12	105775834	105775934	Overall body size	Significant				
119865	BSIZE	3	428.05	428.05-428.05	105758093	105758193	Overall body size	Significant				
119866	BSIZE	3	427.19	427.19-427.19	105546982	105547022	Overall body size	Significant				
119867	BSIZE	3	428.83	428.83-428.83	105951995	105952095	Overall body size	Significant				
119868	BSIZE	3	429.40	429.40-429.40	106090701	106090801	Overall body size	Significant				
119869	BSIZE	3	429.54	429.54-429.54	106126608	106126708	Overall body size	Significant				
119870	BSIZE	3	425.64	425.64-425.64	105163057	105163097	Overall body size	Significant				
119871	BSIZE	3	429.61	429.61-429.62	106144892	106144992	Overall body size	Significant				
119872	BSIZE	3	428.93	428.93-428.93	105975056	105975156	Overall body size	Significant				
119873	BSIZE	3	429.25	429.25-429.25	106054477	106054577	Overall body size	Significant				
119874	BSIZE	3	429.24	429.24-429.24	106052861	106052901	Overall body size	Significant				
119875	BSIZE	3	429.59	429.59-429.59	106137872	106137972	Overall body size	Significant				
119876	BSIZE	3	429.26	429.26-429.26	106058087	106058187	Overall body size	Significant				
119877	BSIZE	3	429.35	429.35-429.35	106080200	106080300	Overall body size	Significant				
124178	WITHIH	3	427.19	427.19-427.19	105546982	105547022	Withers height	Significant				
124179	BL	3	427.19	427.19-427.19	105546982	105547022	Body length	Significant				
124187	WITHIH	3	425.17	425.17-425.17	105046413	105046453	Withers height	Significant				
124192	BL	3	428.53	428.53-428.53	105876377	105876417	Body length	Significant				
124195	BL	3	358.17	358.17-358.17	88493397	88493437	Body length	Significant				
126958	BW	3	427.19	427.19-427.19	105546982	105547022	Body weight	Significant				
126959	WITHIH	3	427.19	427.19-427.19	105546982	105547022	Withers height	Significant				
126960	CHCIR	3	427.19	427.19-427.19	105546982	105547022	Chest circumference	Significant				
126962	WITHIH	3	427.19	427.19-427.19	105546982	105547022	Withers height	Significant				
147694	BW	3			104403750	104403790	Body weight	Significant				
147695	BW	3			104941965	104942005	Body weight	Significant				
147696	BW	3			104986264	104986304	Body weight	Significant				
147697	BW	3			105163057	105163097	Body weight	Significant				
147698	BW	3			105875789	105875829	Body weight	Significant				
147699	BW	3			105876377	105876417	Body weight	Significant				
147700	BW	3			105947223	105947263	Body weight	Significant				
147701	BW	3			106710365	106710405	Body weight	Significant				
147702	BW	3			108176616	108176656	Body weight	Significant				
165777	WITHIH	3	236.29	236.29-236.29	58379367	58379407	Withers height	Significant				
165778	WITHIH	3	236.29	236.29-236.29	58379806	58379846	Withers height	Significant				
165791	WITHIH	3	179.56	179.56-179.56	44363523	44363563	Withers height	Significant				
165904	WITHIH	3	65.66	65.66-65.66	16221977	16222017	Withers height	Significant				
165906	WITHIH	3	308.14	308.14-308.14	76130979	76131019	Withers height	Significant				
165914	WITHIH	3	241.18	241.18-241.18	59588895	59588935	Withers height	Significant				
165933	WITHIH	3	306.99	306.99-306.99	75849119	75849159	Withers height	Significant				
165953	WITHIH	3	284.93	284.93-284.93	70397738	70397778	Withers height	Significant				
166012	WITHIH	3	13.87	13.87-13.87	3426607	3426647	Withers height	Significant				
166051	WITHIH	3	58.84	58.84-58.84	14537412	14537452	Withers height	Significant				
166054	WITHIH	3	69.37	69.37-69.37	17138811	17138851	Withers height	Significant				
166093	WITHIH	3	112.74	112.74-112.74	27854530	27854570	Withers height	Significant				
166158	WITHIH	3	355.67	355.67-355.67	87874814	87874854	Withers height	Significant				
166163	WITHIH	3	285.29	285.29-285.29	70486168	70486208	Withers height	Significant				
166164	WITHIH	3			104403750	104403790	Withers height	Significant				
166188	WITHIH	3	338.16	338.16-338.16	83548240	83548280	Withers height	Significant				
166242	WITHIH	3			108785269	108785309	Withers height	Significant				
166243	WITHIH	3	285.16	285.16-285.16	70453524	70453564	Withers height	Significant				
166251	WITHIH	3	248.01	248.01-248.01	61276155	61276195	Withers height	Significant				
166265	WITHIH	3	241.18	241.18-241.18	59588640	59588680	Withers height	Significant				
166266	WITHIH	3	241.24	241.24-241.24	59602579	59602619	Withers height	Significant				
166786	WITHIH	3			105546982	105547022	Withers height	Significant				
166790	WITHIH	3			105407955	105830625	Withers height	Significant		rs68603009	rs68534803	
165771	WITHIH	4	399.39	399.39-399.39	71900196	71900236	Withers height	Significant				
165783	WITHIH	4	211.49	211.49-211.49	38073996	38074036	Withers height	Significant				
165799	WITHIH	4	205.04	205.04-205.04	36911569	36911609	Withers height	Significant				
165804	WITHIH	4	310.72	310.72-310.72	55937457	55937497	Withers height	Significant				
165805	WITHIH	4			72263203	72263243	Withers height	Significant				
165824	WITHIH	4	210.32	210.32-210.32	37862449	37862489	Withers height	Significant				
165827	WITHIH	4	301.85	301.85-301.85	54341267	54341307	Withers height	Significant				
